name,entries/usernames,entries/emails,breach_date
Cre8ASiteForums.com,0,22149,0000-00-00
ID.Zing.vn,0,22735442,0000-00-00
Forum.DvdRBase.info,0,40067,0000-00-00
BitcoinSecurity,0,9393718,2014-01-09
FuckJagex.com,0,1556785,2014-09-00
ClixSense.com,0,2221131,2016-08-00
Game.Kaidown.com,0,847467,0000-00-00
LBSG.net,9041565,9585681,2016-01-01
ForumCommunity.net,0,745631,2016-06-01
Void.to,0,14819,2019-06-13
NaughtyAmerica.com,0,398394,2016-03-00
GameTuts.com,0,1121822,2015-03-01
SumoTorrent.sx,0,249654,2016-04-00
Edaboard.com,0,347998,2015-00-00
Gamecom.com,0,1003348,0000-00-00
Rewasd.com,0,102086,2019-09-00
Moneycontrol.com,0,29873,0000-00-00
SafeSkyHacks.com,0,2222,2016-11-00
Coinpot.co,0,130895,0000-00-00
MyFitnessPal.com,47577402,48975280,2018-02-01
Rgbdirect.co.uk,0,146043,0000-00-00
Jobmada.com,0,18791,0000-00-00
WorldCraftEros.net,0,2270,0000-00-00
Funimation.com,587855,848158,2016-07-01
Acne.org,0,233197,2014-11-25
Wanelo.com,0,3011743,2018-12-13
Euronote.hu,0,361152,0000-00-00
Gatehub.net,65574,338837,2019-06-04
8Tracks.com,6109540,11254194,2017-06-27
Hitlerattacks.com,0,944,0000-00-00
Openraid.org,0,253709,0000-00-00
Imgur.com,0,1746651,2013-09-01
ArmorGames.com,8636120,9109593,2019-01-01
Morele.net,0,864182,2018-10-10
Viperc.net,0,2442,0000-00-00
Payasugym.com,0,284644,2016-12-00
Bizbilla.com,0,168848,0000-00-00
Facepunch.com,0,258835,2016-06-03
SpellForce.com,0,109987,0000-00-00
Coachella.com,0,205215,2017-02-00
Mycube.ru,0,206183,2017-00-00
Dating.de,0,511384,2016-06-00
Hydrogenplatform.com,0,29471,0000-00-00
Eletroplus.blogspot.com,0,74158,0000-00-00
Fitbit.com,0,1997430,0000-00-00
Tibia.net.pl,0,341398,2016-00-00
Nihonomaru.net,0,1555849,2015-04-00
Techimo.com,0,300125,2017-01-00
Lookbook.nu,0,1071282,2016-05-00
VaroxCraft.de,0,1425,0000-00-00
Shadi.com,0,2016544,2016-07-00
Chegg.com,0,29892713,2018-04-00
MortalOnline.com,572992,608796,2018-06-17
Mate1.com,0,27184842,2015-11-00
Go4EngineeringJobs.com,0,171622,0000-00-00
Bitshacking.com,0,31697,2014-03-00
HazeCash.com,0,800257,2017-01-00
Spohesap.com,0,6188,0000-00-00
TeamExtremeMc.com,0,70393,2015-04-00
BitsCircle.com,0,18956,0000-00-00
Marketdownload.com,0,104315,2017-00-00
Zloadr.com,0,8714,0000-00-00
Onebip.com,0,1890269,2017-10-00
EmuParadise.me,730812,757331,2018-04-01
VanityMC.co,0,9550,0000-00-00
Forums.Manacube.com,0,52531,0000-00-00
NexusMods.com,4843232,5409370,2013-07-22
Instaforex.com,0,263385,0000-00-00
Kaboom.su,0,77006,2015-10-00
Redbox.com,0,246921,0000-00-00
Faucethub.io,0,547991,0000-00-00
Btc60.net,0,52146,0000-00-00
Gametag.com,0,208066,2017-11-00
Psyonix.com,0,979504,0000-00-00
Intellego.com,0,478183,0000-00-00
YingjieSheng.com,0,728391,0000-00-00
Cracked.to,0,23582,2019-07-21
DLH.net,0,3139638,2016-07-31
Windhanenergy.io,0,56411,0000-00-00
Poshmark.com,7301467,38202469,2018-05-16
CraftApple.com,0,2877,2016-06-30
HackGive.me,0,36342,2017-08-00
Aptoide.com,0,6089260,2020-04-13
Cryptostar.asia,0,19384,2020-00-00
Exerion.pl,0,85024,2020-03-20
FlashGames.it,878471,1051185,2020-03-26
LiveJournal,32445875,27271568,2017-01-01
Mobifriends,2968830,3102274,2020-00-00
Ogusers,133737,222169,2020-04-02
Oneservers.su,35943,36247,2019-08-00
rbx.rocks,20905,22754,2018-08-06
Silkroad,4546006,0,2012-00-00
Sminecraft,105986,104162,2020-00-00
Storenvy,1183109,1651151,2019-04-00
Tailieu.vn,6661530,8268758,2019-11-24
Webkinz,11457317,806177,2020-04-00
Zorotex,0,16299,2019-08-00
Zynga,30890178,180710218,2019-09-01
Romwe.com,0,16255003,2018-00-00
Stalker.so,0,524606,2020-05-00
Omgpop,0,6938477,2019-08-00
Villavu.com,0,121097,2014-00-00
Animalfuckwoman.org,0,108835,2019-00-00
Edmodo,6611941,6151821,2017-05-11
AnimeGame.me,0,2083505,2020-02-27
Characters.net,0,133268,0000-00-00
Ticketclub.it,0,85114,2019-00-00
Vasthushop.com,0,2264,2019-00-00
GameSprite.me,0,984328,2019-12-00
Sylhetaid.co.uk,0,60909,0000-00-00
AndroidForums.com,0,454148,2011-10-30
PESGaming.com,0,144686,0000-00-00
Trackmill.com,0,339038,0000-00-00
Heatgames.me,0,152628,0000-00-00
Potico.es,0,109457,0000-00-00
Wiccanos.es,0,12400,0000-00-00
