leakname,entries,source
Kaixin0001.com (Oct 2011),7419518,dataviper.io
tailieu.vn,7349929,dataviper.io
USA Business Directory 2014,7289292,dataviper.io
bbs.xiaomi.com,7086101,dataviper.io
omgpop.com full,7071866,dataviper.io
quidd,6984824,dataviper.io
gmail,6934036,dataviper.io
Interpals,6900792,dataviper.io
cashcrate.com,6895594,dataviper.io
StockX (Soletrade),6846057,dataviper.io
nexusmods (decrypted),6759890,dataviper.io
Aipai.com (Jul 2016),6507276,dataviper.io
LovePlanet.ru,6501607,dataviper.io
DuelingNetwork,6487335,dataviper.io
Dueling Network,6486915,dataviper.io
YouPorn,6461559,dataviper.io
CSDN.net (Jan 2011),6428632,dataviper.io
EatStreet.sql,6398364,dataviper.io
gogogames.me full,6383444,dataviper.io
xyx.com,6341587,dataviper.io
CoffeeMeetsBagel.com,6174449,dataviper.io
Ticketfly (2018),6151054,dataviper.io
leet.cc.sql,6084276,dataviper.io
Mobango.com,6002832,dataviper.io
USA Boat Owners DB,5972220,dataviper.io
Xat,5937706,dataviper.io
StrongHoldKingdoms.com,5815715,dataviper.io
goninja.es (12-2019),5795942,dataviper.io
gatehub,5696486,dataviper.io
plu.cn,5691574,dataviper.io
forums.soargames.com (12-2019),5687603,dataviper.io
nexusmods,5552363,dataviper.io
766.com part4,5545255,dataviper.io
nvia.com,5466731,dataviper.io
EstanteVirtual.com.br,5457611,dataviper.io
Pconline.com.cn,5444013,dataviper.io
Gamigo.com,5439948,dataviper.io
forums.risengame.com (12-2019),5232902,dataviper.io
ultraninja.de (12-2019),5206046,dataviper.io
goninja.d december2019,5206040,dataviper.io
goninja.de (12-2019),5206040,dataviper.io
kickstarter,5177232,dataviper.io
Gmail collection,5073052,dataviper.io
zhenai.com 2011-08,5048362,dataviper.io
Parapa.mail.ru,5030536,dataviper.io
yatra.com,5020275,dataviper.io
evony extra,5000000,dataviper.io
BTSec.com (Jan 2014),4928959,dataviper.io
gmail.com,4912216,dataviper.io
Wirecard.com.br,4811706,dataviper.io
2018 voters Washington,4792982,dataviper.io
Pennsylvania delivery records,4655196,dataviper.io
joygames.me (12-2019),4649342,dataviper.io
uk-cbv (paypal),4623839,dataviper.io
MoneyBookers 2009,4602729,dataviper.io
Weibo.com (Jan 2011),4602165,dataviper.io
gaadi,4485195,dataviper.io
gaadiuserpass,4404413,dataviper.io
gaadiemailpass,4401853,dataviper.io
MyPoints.com,4393565,dataviper.io
Leet.cc,4361844,dataviper.io
Maryland Voters (2018),4286735,dataviper.io
R2Games Forum,4256919,dataviper.io
toondoo,4239749,dataviper.io
Missouri Voters (2018),4130523,dataviper.io
tokopedia,4123826,dataviper.io
Avvo.com,4105094,dataviper.io
toondoo.com,4098694,dataviper.io
cpps.me,4054470,dataviper.io
Storybird com,4049940,dataviper.io
Roll20.net,4005673,dataviper.io
Quidd.co 2019,3954415,dataviper.io
HIDDEN 2.9million combo,3927038,dataviper.io
gogames.me,3924368,dataviper.io
Abusewith.us,3908959,dataviper.io
Legendas.tv,3866684,dataviper.io
puntochat.it december 2016,3858250,dataviper.io
r2games.com (09-2019),3849920,dataviper.io
colorad registered voters list aug 2019,3821719,dataviper.io
Mail.ru,3736301,dataviper.io
Heroes Of Newerth,3698986,dataviper.io
2018 voters Colorado,3692309,dataviper.io
mobifriends.com (01-2020),3688057,dataviper.io
MPGH,3679156,dataviper.io
Zoomcar.com,3589833,dataviper.io
chatib.us,3536280,dataviper.io
sharecash.org,3518321,dataviper.io
sprashivai.ru emailpass,3517342,dataviper.io
subagames.com,3494320,dataviper.io
766.com,3489837,dataviper.io
Interpals.net (Nov 2015),3450450,dataviper.io
chronicle.com final,3447829,dataviper.io
Nihonomaru.net,3360800,dataviper.io
houzz.comk,3270760,dataviper.io
Minube.net,3245667,dataviper.io
steam ru,3219093,dataviper.io
swordfantasy.com,3206336,dataviper.io
Oregon Voters (2018),3179344,dataviper.io
DragonNest.com (Aug 2013),3144670,dataviper.io
Technicpack.net,3121834,dataviper.io
Ubisoft.com,3064932,dataviper.io
mop,3040015,dataviper.io
mop.com,3039062,dataviper.io
Makaan.com,3008544,dataviper.io
eharmony,2971190,dataviper.io
auto-2954173,2954173,dataviper.io
Gamevn.com,2917666,dataviper.io
Virginia delivery records,2905681,dataviper.io
ru.foursquare.com,2900683,dataviper.io
dlh.comDB,2831443,dataviper.io
gatehub.com,2829151,dataviper.io
Xsplit,2803091,dataviper.io
PromoFarma.com,2770649,dataviper.io
Renren 2011,2710047,dataviper.io
DFB.de,2700531,dataviper.io
Duowan.com (Jan 2011),2664978,dataviper.io
Mop.com (Aug 2016),2653881,dataviper.io
CafeMom.com,2628213,dataviper.io
outro.com 201610.json,2606166,dataviper.io
Onebip.com,2605232,dataviper.io
RussianForum,2598425,dataviper.io
over-blog.com,2567999,dataviper.io
fashionfantasygame.com, 2551608,dataviper.io
Adult Friend Finder 2015,2535512,dataviper.io
lekoolgames.comil mailpass,2529718,dataviper.io
Roadtrippers.com,2511048,dataviper.io
Funimation,2502996,dataviper.io
Naughty America,2500895,dataviper.io
morele.netcrypt 2018-10,2474109,dataviper.io
vtightgel.net na february 2016,2447187,dataviper.io
brazil,2393318,dataviper.io
mmorg.netk,2346497,dataviper.io
2018 voters Connecticut,2289729,dataviper.io
patreon,2275680,dataviper.io
GameTuts,2244548,dataviper.io
Game-Tuts.com (Jan 2015),2244383,dataviper.io
clixsense.com 2016-08,2219996,dataviper.io
Dressup.com,2209566,dataviper.io
Sephora.com (Asia),2208679,dataviper.io
i-dressup.com,2207547,dataviper.io
51cto.com,2153685,dataviper.io
GamerzPlanet.net,2143395,dataviper.io
gPotato.com,2143339,dataviper.io
Shotbow.net,2105671,dataviper.io
charmsadults,2074142,dataviper.io
walmart.comk goodhits,2059576,dataviper.io
shadi.com,2036327,dataviper.io
cheat-master.net email-pass,2027756,dataviper.io
fitbit.comk,2000000,dataviper.io
Hostinger,1999984,dataviper.io
thewarinc,1990428,dataviper.io
PetFlow.com,1985716,dataviper.io
Xbox360.com,1935421,dataviper.io
FlashFlashRevolution,1931714,dataviper.io
Dev.Dota2.com,1919302,dataviper.io
ovh-kimsufi,1917055,dataviper.io
Lookbook.nu,1914381,dataviper.io
skynetgaming.com (09-2019),1898094,dataviper.io
flyinghearts.info,1875233,dataviper.io
CDProjektRed.com,1848481,dataviper.io
classifieds.fullhyderabad.com,1846914,dataviper.io
2018 voters Kansas,1822585,dataviper.io
