leakname,entries,source
old.warwick.de,75788,dataviper.io
www.turfselect.fr,75726,dataviper.io
bkkgems.com,75661,dataviper.io
ludifolie.comGames,75587,dataviper.io
cfr.annauniv.edu,75483,dataviper.io
DealDatabase.com (Jan 2015),75439,dataviper.io
autosportwilly.com,75433,dataviper.io
www.rallyfan.cz,75318,dataviper.io
www.pronostiqueur.com,75298,dataviper.io
meatmembers.com dec,75068,dataviper.io
7nwarch,74878,dataviper.io
Carnival part4,74728,dataviper.io
360icons.com 2014 101k, 74600,dataviper.io
www.aperitoche.com,74599,dataviper.io
www.justfabrics.co.uk,74339,dataviper.io
www.nastart.org,74328,dataviper.io
commerc.rus-on.ru,74275,dataviper.io
electroplus.blogspot.com,74267,dataviper.io
eletroplus.blogspot.com,74267,dataviper.io
www.nitpickit.com,74069,dataviper.io
TheTechGame.com (Jul 2016),73959,dataviper.io
Carder.pro  (Apr 2013),73886,dataviper.io
wow-mania.com,73763,dataviper.io
Pandi.or.id (Jul 2015),73750,dataviper.io
MtGox.com,73742,dataviper.io
v1.makewebeasy.com,73741,dataviper.io
incontraescort.com,73725,dataviper.io
mythicalworld.net,73709,dataviper.io
hackgivedotmeDehashed,73558,dataviper.io
thebotnet,73297,dataviper.io
Forums.IOBit.com,73268,dataviper.io
citi.ynfx.com,73253,dataviper.io
www.elrincondelartenuevo.com,73181,dataviper.io
filmhot.us november2019,73055,dataviper.io
www.coasterfuel.com,73053,dataviper.io
filmhot.us. (11-2019),73042,dataviper.io
academiedeversailles.com,72917,dataviper.io
cristalix.ru,72850,dataviper.io
DealDatabase.com,72713,dataviper.io
icomining,72633,dataviper.io
PocketGamer,72577,dataviper.io
youwinconnect.org.ng,72552,dataviper.io
www.golferscard.ae,72389,dataviper.io
ommall.net,72329,dataviper.io
Destructoid,72236,dataviper.io
academiaplay.es,72169,dataviper.io
RootWarez.org (Jan 2011),72053,dataviper.io
www.prono-banco.com,72040,dataviper.io
sumaco.ae,71994,dataviper.io
newsoflegends,71804,dataviper.io
IchatMedia.com (Jul 2015),71765,dataviper.io
mail.hajinc.com,71679,dataviper.io
Hortinews.co.ke (Aug 2016),71674,dataviper.io
zooville.org,71404,dataviper.io
AnimuTank.com,71370,dataviper.io
AliceDelice.com,71240,dataviper.io
www.realtimepublishers.com,71223,dataviper.io
exilemod,71216,dataviper.io
FunPlusGame.com (Nov 2015),71070,dataviper.io
MinecraftWorldmap.com (Dec 2015),70993,dataviper.io
AceOfSpades.com (Jun 2016),70902,dataviper.io
WebReus.nl (Jan 2016),70857,dataviper.io
doom9.org,70775,dataviper.io
topptid.no,70694,dataviper.io
www.tichuiq.com,70591,dataviper.io
www.aptafetes.com,70290,dataviper.io
www.medwaymadness.co.uk,70151,dataviper.io
W3Schools.com (Dec 2015),70144,dataviper.io
KinkyDollars.com (Sep 2012),70117,dataviper.io
www.iprofesional.com,70098,dataviper.io
castrovalues.com,69958,dataviper.io
debbiesellscolumbia.com,69883,dataviper.io
combineddehashed,69874,dataviper.io
handheldculture.comArtsandEntertainmentMusicandudio,69780,dataviper.io
AskGamblers.com,69614,dataviper.io
www.subbmitt.com,69320,dataviper.io
huntandjump.com,69243,dataviper.io
sbot.affinitycircles.com,69241,dataviper.io
bsv.pedmix.ru,69182,dataviper.io
ProjectRS06.com (Feb 2013),69139,dataviper.io
BitsCircle.com,69026,dataviper.io
Carnival part6,68877,dataviper.io
www.academyfence.com,68846,dataviper.io
Cabinet-recrutement.org,68575,dataviper.io
Flashacking.net (2016),68400,dataviper.io
www.monolink.kr,68382,dataviper.io
luyentoeicvn.com november2019,68264,dataviper.io
www.skoolbag.com.au,67956,dataviper.io
kiaebs.org,67952,dataviper.io
www.getcrafty.com,67845,dataviper.io
FriendshipKey.com (Aug 2016),67768,dataviper.io
select-cartridges.ru,67735,dataviper.io
www.agapelive.com,67579,dataviper.io
www.diva-m.ru,67559,dataviper.io
donanimmerkezi.com,67510,dataviper.io
www.fuelmeup.com,67395,dataviper.io
bodyweb.com 2016,67341,dataviper.io
forum.dex-rpg.com,67305,dataviper.io
www.forumy.ru,67278,dataviper.io
Best-Hack.net,67252,dataviper.io
www.eurocampingcar.com,67228,dataviper.io
thaitravelmart.com,67216,dataviper.io
gatewayxf,67151,dataviper.io
www.soulmates.net,67148,dataviper.io
adultsinglesites.com,67137,dataviper.io
www.mxzdy.com,67077,dataviper.io
e-bay.ru,67006,dataviper.io
old.islam.com.ua,66996,dataviper.io
ScrollsOfLore.com (May 2015),66977,dataviper.io
www.ipsos-trainingcenter.com,66857,dataviper.io
www.thebluething.com,66792,dataviper.io
Frontalot.com (Feb 2015),66644,dataviper.io
old.paraavis.com,66579,dataviper.io
www.milwaukee-vtwin.de,66408,dataviper.io
www.glass-hobby-design.de,66322,dataviper.io
www.curtas.pt,66303,dataviper.io
FuturCraft.com,66273,dataviper.io
www.ekcdi.com,66166,dataviper.io
www.imuz.com,66148,dataviper.io
www.paklap.pk,66099,dataviper.io
www.mcpressonline.com,65976,dataviper.io
ww.easy.lk,65837,dataviper.io
www.megapreturi.ro,65762,dataviper.io
www.freeatkorea.com,65628,dataviper.io
green.tichuiq.com,65606,dataviper.io
forum.musicoff.com,65401,dataviper.io
forum.vmedia.ca,65309,dataviper.io
www.applebeebook.co.kr,65293,dataviper.io
en.bestcreativity.com,65289,dataviper.io
www.beopjeon.com,65287,dataviper.io
extranet.cnfpt-centre.fr,65119,dataviper.io
itcme.net,64838,dataviper.io
www.minyanville.com,64730,dataviper.io
muralgratis.net,64541,dataviper.io
Comicbookres,64527,dataviper.io
cantgetyouoffmymindlyrics.maryjblige.lyricschords.net,64503,dataviper.io
caughtinthebalance.toto.lyricschords.net,64503,dataviper.io
www.logospoetry.org,64497,dataviper.io
ontecnia.com (01-2020),64451,dataviper.io
Bbicecream.com (Oct 2015),64185,dataviper.io
www.kutatokejszakaja.hu,64108,dataviper.io
www.globalhenkelelectronics.com,64076,dataviper.io
FaithfulHCF,63996,dataviper.io
www.itconnections.me,63521,dataviper.io
forum.musicoff.com (09-2019),63409,dataviper.io
www.zabzaa.com,63247,dataviper.io
soberandrecoveryhotline.com november2019,63229,dataviper.io
industrialreviews.ru,63176,dataviper.io
www.savecoin.com,62889,dataviper.io
www.souzpromarmatura.ru,62795,dataviper.io
westlandstorage.com,62793,dataviper.io
www.ptj.lk,62722,dataviper.io
yojoe.com,62541,dataviper.io
www.igakutushin.co.jp,62520,dataviper.io
www.asociacionconluzpropia.com,62491,dataviper.io
forum.cssbb.com,62446,dataviper.io
forum.full.sql,62446,dataviper.io
users derby.ir,62384,dataviper.io
planetcalypsoforum.com july2019,62294,dataviper.io
bipopka.org,62211,dataviper.io
www.e-servicemanuals.com,62189,dataviper.io
tushinec.ru,62054,dataviper.io
www.real-sexcontacts.com,62002,dataviper.io
IChatUsa,61990,dataviper.io
forum.learncima.com,61848,dataviper.io
Crush007.co.uk,61694,dataviper.io
FunOfficePools.com,61465,dataviper.io
Differencegames.com,61326,dataviper.io
www.ban4u.com,61216,dataviper.io
www.1001moteurs.com,61016,dataviper.io
mtgox_accounts,61007,dataviper.io
biocom-international.ro,60898,dataviper.io
Minecraftworldmap.com,60897,dataviper.io
www.dmtools.org,60725,dataviper.io
www.katalogsuvenirov.ru,60493,dataviper.io
www.quicooking.com,60346,dataviper.io
www.pmhlegal.com,60246,dataviper.io
ExplosiveGaming.com (Sep 2015),60231,dataviper.io
es.grupodragon.com.ar,60145,dataviper.io
gamesbites.com,60106,dataviper.io
ManaCube Forums,59933,dataviper.io
www.moscowfitness.ru,59932,dataviper.io
Konvict Forum,59877,dataviper.io
jaggedforums (12-2019) phpbb,59864,dataviper.io
www.servicetaxonline.com,59782,dataviper.io
www.gipfeltreffen.at,59729,dataviper.io
www.theblsa.com,59638,dataviper.io
www.feisworx.com,59524,dataviper.io
guitarsuperhero.net,59515,dataviper.io
www.vanchosun.com,59476,dataviper.io
forum.investor.bg,59450,dataviper.io
www.kindercart.com,59326,dataviper.io
hastingsmotorcare.co.uk,59300,dataviper.io
Se-te.com (Oct 2016),59286,dataviper.io
www.orlandosentinel2.com,59221,dataviper.io
TheElderGeek.com (Jun 2015),59050,dataviper.io
apforums3 user 05 18 2016,59037,dataviper.io
www.theshareholder.com.au,59035,dataviper.io
globalresourcesnews.com,58993,dataviper.io
www.assoc.pension.bg,58898,dataviper.io
assoc.pension.bg,58897,dataviper.io
www.wrm.ru,58747,dataviper.io
mumayi.com,58683,dataviper.io
LetterBoxing.org,58645,dataviper.io
Letterboxing.org (Jun 2016),58626,dataviper.io
www.designbuilder-v4.co.uk,58626,dataviper.io
tichuiq.com,58556,dataviper.io
www.forum-macchine.it,58502,dataviper.io
toscanaviva.com,58473,dataviper.io
wecare,58452,dataviper.io
Chattertzu.com (Nov 2015),58421,dataviper.io
eng.goodpeople.or.kr,58382,dataviper.io
FeverClan.com (Aug 2016),58251,dataviper.io
rez-private,58169,dataviper.io
history.cyberbody.ru,58054,dataviper.io
foros.wow-colombia.com,58051,dataviper.io
www-2ddamtijqp.vetlek.ru,58050,dataviper.io
windhanenergy.io,57996,dataviper.io
www.practicepte.com,57876,dataviper.io
www.mudraa.com,57869,dataviper.io
brest.aw.by,57868,dataviper.io
xfactor 2011-04,57828,dataviper.io
inmatri.com,57761,dataviper.io
www.jobmarket.com.my,57755,dataviper.io
OnlineOops.com (Aug 2016),57754,dataviper.io
PingPong.su,57598,dataviper.io
PingPong.su (Aug 2016),57590,dataviper.io
thechinforum.com,57528,dataviper.io
www.morisnn.ru,57472,dataviper.io
sixthcontinent.com,57445,dataviper.io
Bandalicraft User,57428,dataviper.io
HCGamesk,57313,dataviper.io
hidemyass.com,57234,dataviper.io
ukulele.chordtabs.in.th,57189,dataviper.io
www.jeux-gratuit.com,57002,dataviper.io
www.panapace.com,56958,dataviper.io
www.gataweb.com,56949,dataviper.io
romaviva.com,56912,dataviper.io
MVHacks.net (Aug 2014),56859,dataviper.io
maniaplanet.com,56770,dataviper.io
transfercemkrete.makewebeasy.com,56736,dataviper.io
WemoMedia.com (Aug 2016),56660,dataviper.io
www.mospsy.ru,56592,dataviper.io
www.mindme.ie,56563,dataviper.io
www.textnovel.com,56510,dataviper.io
www.asawann1.com,56427,dataviper.io
chimsband.co.kr,56396,dataviper.io
m.b2btrademarketing.com,56391,dataviper.io
www.hundesalon-lili.at,56332,dataviper.io
m.balkanmusicawards.com,56327,dataviper.io
ww2.losninos.be,56258,dataviper.io
AniDub,56107,dataviper.io
ftp.softrak.com,56043,dataviper.io
www.wwgym.com,55934,dataviper.io
wonderpolls.com,55931,dataviper.io
www.tehservis.ru,55928,dataviper.io
pixlr.com,55876,dataviper.io
www.armorama.com,55873,dataviper.io
kakasure.com february 2016,55795,dataviper.io
www.seyfiye-sinifi.bunedir.org,55754,dataviper.io
www.krkediciones.es,55563,dataviper.io
lingozone.comCareerandEducationEducationCareerandEducationEducation,55561,dataviper.io
alberghiascoli.it,55404,dataviper.io
data.e-rockford.com,55187,dataviper.io
www.menzelinsk.ru,55180,dataviper.io
Vodafone.is (Nov 2013),55171,dataviper.io
WebHelpje.nl (Jan 2015),55089,dataviper.io
www.dosportseasy.com,54841,dataviper.io
dkmgames.com 2015-07,54802,dataviper.io
www.pcbuyersguide.com.ph,54671,dataviper.io
arhiva.vidi.hr,54632,dataviper.io
www.sandhuniforms.com,54620,dataviper.io
www.cskrl.com,54590,dataviper.io
mjakmama24.pl,54522,dataviper.io
dbEpicNPC.com,54459,dataviper.io
wjunction,54454,dataviper.io
WJunction.com (Jan 2014),54434,dataviper.io
MVHacks.net_vb_August,54362,dataviper.io
old.uralpress.ru,54353,dataviper.io
acefu.net,54324,dataviper.io
www.cardatabase.net,54298,dataviper.io
latechef.com september 2016,54217,dataviper.io
LateChef.com (Aug 2016),54216,dataviper.io
wbb1bracket.victorysportsnetwork.com,54179,dataviper.io
www.dordingull.com,54110,dataviper.io
CSGameServs.Com,53964,dataviper.io
Acparadise.com (Jul 2016),53790,dataviper.io
pkmn.net smf,53699,dataviper.io
pkmn.net (08-2019),53699,dataviper.io
www.aeroklas.com,53673,dataviper.io
www.tbread.com.br,53615,dataviper.io
m.florentiavillage.com,53558,dataviper.io
hashingadspace.com,53540,dataviper.io
rlfans.com, 53460,dataviper.io
www.signaturymaliru.cz,53377,dataviper.io
openinovasi.sg,53282,dataviper.io
forum.caswellplating.com sept2019,53279,dataviper.io
BiteGame.com,53230,dataviper.io
paradaosertanejo.com.br,53139,dataviper.io
www.seat-portal.de,53081,dataviper.io
www.uyutmarket.ru,53057,dataviper.io
www.tabledescalories.com,52968,dataviper.io
freeclassifieds.ws,52834,dataviper.io
case.tuttoaffari.com,52784,dataviper.io
ComicBookDB,52734,dataviper.io
www.dreamcodes.biz,52706,dataviper.io
124sold.gr,52692,dataviper.io
seoforums.org may 2012,52661,dataviper.io
www.chokthaweeplastic.com,52632,dataviper.io
Demonforums,52616,dataviper.io
demonforums mybb ipb 20.02.2019,52616,dataviper.io
cre8asiteforums.com,52442,dataviper.io
madameturf.com,52339,dataviper.io
choiceofhomes.com,52235,dataviper.io
www.daegufc.co.kr,52208,dataviper.io
lacedrecords.co,52175,dataviper.io
hisseanaliz.net,51894,dataviper.io
VbTeam.net (Apr 2016),51882,dataviper.io
club-nanou.com,51757,dataviper.io
www.lighthouseuniform.com,51463,dataviper.io
pubpit.com,51458,dataviper.io
www.highlandhost.net,51435,dataviper.io
mi5.ru,51359,dataviper.io
milanoalberghi.info,51342,dataviper.io
kaboom.ru,51283,dataviper.io
photographer.ru-photographer.users,51267,dataviper.io
carpakistan.com,51260,dataviper.io
Dogewallet.com,50968,dataviper.io
educationext.comCareerandEducation,50941,dataviper.io
www.menadzer.malioglasi.com,50914,dataviper.io
www.malioglasi.com,50902,dataviper.io
www.clasiefectivos.com,50771,dataviper.io
idcgames.com,50747,dataviper.io
www.torontogolfnuts.com,50725,dataviper.io
www.italiansoflondon.com,50557,dataviper.io
NodusGriefing.com (Dec 2012),50413,dataviper.io
CrackingForum.com,50233,dataviper.io
wifihunt javamifi,50114,dataviper.io
imagingservices.fotofafa.com,50080,dataviper.io
fybforum.co.uk,50080,dataviper.io
sproutlore.com,50057,dataviper.io
teethiao.com,50021,dataviper.io
5_gaming_combo,49980,dataviper.io
yellowisthenewpink.com,49958,dataviper.io
WEBSPS3,49903,dataviper.io
www.quizopolis.com,49845,dataviper.io
florida.gov 2016-10,49767,dataviper.io
Gobol.in,49752,dataviper.io
ES MX List,49572,dataviper.io
Abc.net.au (Feb 2013),49561,dataviper.io
www.rapint.com,49510,dataviper.io
www.mak-unatrac.com,49370,dataviper.io
nunya.hajinc.com,49364,dataviper.io
shop.fishing-mania.com,49237,dataviper.io
RSBDecrypted,49056,dataviper.io
www.eliteskills.com,49052,dataviper.io
DBDBDB,48824,dataviper.io
tkar-khj.ir,48820,dataviper.io
m.yichuangshu.com,48757,dataviper.io
labl.teriin.org,48750,dataviper.io
dzialkowiec.pixelart.com.pl,48716,dataviper.io
www.evillabs.sk,48684,dataviper.io
jobplatform.inCareerandEducationJobsandEmployment,48673,dataviper.io
www.iiap.res.in,48613,dataviper.io
motorsportforum.com november2019,48564,dataviper.io
rallyforum.com november2019,48564,dataviper.io
worldmotorsport.com november2019,48564,dataviper.io
www.thealpinaregister.com,48509,dataviper.io
www.gopherforum.com,48384,dataviper.io
facesittingforum.com november2019,48346,dataviper.io
facesittingforum.com. (11-2019),48342,dataviper.io
isme.edu.vn november2019,48321,dataviper.io
classifieds.chinadaily.com,48264,dataviper.io
devxvb,48263,dataviper.io
DevX.com (Jul 2016),48262,dataviper.io
jp.miceseoul.com,48262,dataviper.io
CatchItEnglish.com (Sep 2016),48254,dataviper.io
medworm.com,48213,dataviper.io
BitGamer.sql,48212,dataviper.io
Symbolab.com (Sep 2016),48111,dataviper.io
aadalsiden.info,48073,dataviper.io
belygorod.ru,48040,dataviper.io
FourDollarClick.com (Jan 2015),48014,dataviper.io
mobile.leedsrumours.co.uk,47989,dataviper.io
doylesroompoker,47967,dataviper.io
www.chevy-niva.ru,47948,dataviper.io
devx.com,47738,dataviper.io
performanceforums.com,47719,dataviper.io
www.bunedir.org,47667,dataviper.io
www.bluestarbb.com,47616,dataviper.io
www.bip.cl,47568,dataviper.io
RSBoardsCracked,47553,dataviper.io
drowtales.com,47532,dataviper.io
Hemmakvall.se (Jul 2015),47435,dataviper.io
hemmakvall,47394,dataviper.io
djchat.com,47335,dataviper.io
vision.rcinet.ca,47288,dataviper.io
logospoetry.orgBooksandLiterature,47157,dataviper.io
so50.expresskcs.com,47076,dataviper.io
www.playkidsgames.com,46975,dataviper.io
www.qudamaa.com,46972,dataviper.io
vps.it,46959,dataviper.io
leedsrumours.co.uk,46872,dataviper.io
VIPenguin.com (Jul 2016),46824,dataviper.io
fotoik.pl,46764,dataviper.io
logoslibrary.euReferenceLibrariesandMuseums,46757,dataviper.io
www.bundestieraerztekammer.de,46751,dataviper.io
www.rencai8.com,46593,dataviper.io
www.dfbarracks.com,46516,dataviper.io
avstv.com,46491,dataviper.io
canirac.org.mx,46476,dataviper.io
www.noworodek.pl,46469,dataviper.io
archive.maginternational.org,46415,dataviper.io
www.7limonov.ru,46359,dataviper.io
TRiBot.org (Jun 2014),46232,dataviper.io
Intopet.com (Aug 2016),46168,dataviper.io
www.highcountry4wheelers.com,46163,dataviper.io
www.youbeenx.com,46125,dataviper.io
forumcore,46078,dataviper.io
ThreeDollarClick.com,46033,dataviper.io
thegulfbiz.com november2019,45957,dataviper.io
www.etrainingen.com,45942,dataviper.io
someforumidumped,45918,dataviper.io
www.botanica.org.br,45912,dataviper.io
writetoreel.com,45852,dataviper.io
500px.com,45832,dataviper.io
www.loriciel.net,45677,dataviper.io
laptop.me,45674,dataviper.io
www.clementdesign.com,45674,dataviper.io
ofmanager.eu,45657,dataviper.io
indomoneytalk.com november2019,45570,dataviper.io
VVV-Gaming.com (Jun 2015),45549,dataviper.io
www.rro.ch,45549,dataviper.io
forum.ox.pl (11-2019),45510,dataviper.io
www.gadzilka.ru,45465,dataviper.io
app.misaplicaciones.com,45372,dataviper.io
scholar.uad.ac.id,45268,dataviper.io
www.juvepoland.com,45180,dataviper.io
www.showchoir.com,45160,dataviper.io
www.equationoftime.com,45157,dataviper.io
Sindad.com (Aug 2016),45104,dataviper.io
fixscoliosis.com november2019,45075,dataviper.io
fixscoliosis.com (11-2019),45063,dataviper.io
xoffer.hk,45062,dataviper.io
Bit2Visitor.com,44975,dataviper.io
www.mobildebat.dk,44839,dataviper.io
www.planetsporty.com,44815,dataviper.io
op-arab.com,44793,dataviper.io
nsrc.org,44694,dataviper.io
musicboy.co.uk,44602,dataviper.io
www.titanengineering.co.th,44319,dataviper.io
your-engineer1990.makewebeasy.com,44319,dataviper.io
my-mobile.ru,44232,dataviper.io
thai2music.com,44212,dataviper.io
koaci.com,44184,dataviper.io
app.hytexts.com,44160,dataviper.io
cenivam.uis.edu.co,44086,dataviper.io
www.micromatic.com,43974,dataviper.io
components.alldatasheet.pl,43946,dataviper.io
forum.poradnikzdrowie.pl (11-2019),43921,dataviper.io
poradnikzdrowie.pl (11-2019),43913,dataviper.io
www.mmgautomotive.com,43821,dataviper.io
paname.uniterre.com,43818,dataviper.io
xronize,43797,dataviper.io
Xronize.com (May 2013),43790,dataviper.io
poradnikzdrowie.pl,43723,dataviper.io
www.jaguarclassifieds.org.uk,43674,dataviper.io
mp3hungama.com - hungama musicn.users,43674,dataviper.io
hbgames.org january 2019,43623,dataviper.io
Avstv.com (Feb 2014),43519,dataviper.io
www.rivieranayarit.com.mx,43519,dataviper.io
www.bikenightusa.com,43511,dataviper.io
hawaiidemocrats.net,43509,dataviper.io
www.merrltt.tk,43450,dataviper.io
www.newyorkfestivals.com,43285,dataviper.io
gsmforum.tv january 2016,43063,dataviper.io
board.orsk.ru,43060,dataviper.io
longfiles.com (01-2020),43029,dataviper.io
www.hanbit.co.kr,42968,dataviper.io
presiuniv.ac.in,42960,dataviper.io
Hounddawgs,42941,dataviper.io
www.kazachok.com,42732,dataviper.io
www.tierce-pronostic.com,42647,dataviper.io
www.spirou.com,42541,dataviper.io
www.itkom.com.ua,42527,dataviper.io
www.fckg.dk,42511,dataviper.io
Sony Pictures International,42485,dataviper.io
esistoire.de,42469,dataviper.io
freesofree.net php bb,42441,dataviper.io
www.pesegy.org,42350,dataviper.io
ZoomUA.com (Jul 2016),42338,dataviper.io
av-tw.net (Aug 2016),42284,dataviper.io
kindercart.comhoppingChildren,42284,dataviper.io
developers-heaven.net (09-2019) smf,42255,dataviper.io
thedesignquest.com,42246,dataviper.io
quantumbooter.net,42154,dataviper.io
dffavs.dfbarracks.com,42145,dataviper.io
Opticraft.net (May 2015),42138,dataviper.io
playtestvr.com,42111,dataviper.io
buildmydownlines.com,42109,dataviper.io
mobile.nottinghamforestrumours.co.uk,42109,dataviper.io
www.sportunionhaus.at,42093,dataviper.io
gramlove.co,42025,dataviper.io
www.endoshop.co.kr,42018,dataviper.io
 ordine avvocati di roma,41933,dataviper.io
safacura.dlinkddns.com,41925,dataviper.io
PHPFreaks.net (Jul 2015),41911,dataviper.io
womanandhome.com 2016-09,41899,dataviper.io
be2hand.com,41893,dataviper.io
www.cikmedia.ca,41876,dataviper.io
www.visualartsource.com,41853,dataviper.io
zouve.com,41825,dataviper.io
LordOfTheCraft.net (Nov 2015),41816,dataviper.io
www.niccoloammaniti.it,41742,dataviper.io
scd.univ-fcomte.fr,41689,dataviper.io
FunCraft,41663,dataviper.io
insidetexas.com,41618,dataviper.io
csarenax.ro,41566,dataviper.io
beautyfashionshop.de,41563,dataviper.io
getcron.com,41539,dataviper.io
downloadplex.comComputerandElectronicsoftware,41522,dataviper.io
mundosexanuncio.com clientes,41516,dataviper.io
downloadplex.com,41504,dataviper.io
rabotuvsem.ru,41470,dataviper.io
www.neukirchener-verlage.de,41461,dataviper.io
thesafehouse.org,41431,dataviper.io
Deways.com,41427,dataviper.io
conferences.indexcopernicus.com,41422,dataviper.io
bobmunsa.co.kr,41398,dataviper.io
PlanetGarth.com (Aug 2016),41378,dataviper.io
BitsHacking.com (Oct 2015),41341,dataviper.io
companycomplaintsregister.com,41298,dataviper.io
beyondunreal,41270,dataviper.io
www.sbc-web.co.jp,41178,dataviper.io
www.lit.org,41167,dataviper.io
www.fanfooty.com.au,41113,dataviper.io
www.okmedicina.it,41039,dataviper.io
Antichat Forum,41037,dataviper.io
BuzzMachines.com,40971,dataviper.io
BuzzMachines.com (Mar 2016),40971,dataviper.io
rhodes-ranch.com,40932,dataviper.io
www.pakmirror.com,40862,dataviper.io
www.porsche.co.jp,40850,dataviper.io
techimo.com,40630,dataviper.io
www.yuyubottle.com,40499,dataviper.io
quadtreros.net,40436,dataviper.io
EasySubs.com,40405,dataviper.io
en.demo.llb.su,40393,dataviper.io
www.newbergreport.com,40387,dataviper.io
house.zunyifang.cn,40360,dataviper.io
urbandog.co.kr,40354,dataviper.io
www.presiuniv.ac.in,40337,dataviper.io
www.sacert.eu,40301,dataviper.io
www.kinder-mebel.ru,40194,dataviper.io
career.elnusa.co.id,40170,dataviper.io
www.ultimaroms.com,40157,dataviper.io
EasySubs.com (July 2016),40121,dataviper.io
www.marriagebuilders.com,40034,dataviper.io
VeltPvP,39935,dataviper.io
1cheval.com,39902,dataviper.io
www.maxpcicomply.com,39804,dataviper.io
nizhnov-city.ru,39778,dataviper.io
iow-rsoc.co.uk  (Aug 2016),39670,dataviper.io
www.gamonline.com,39599,dataviper.io
diabetenet.com.br,39524,dataviper.io
gisport.ru,39519,dataviper.io
onelastbreathcifra.creed.cifraseletras.mus.br,39420,dataviper.io
rangefinder.ru,39410,dataviper.io
guide-hs.hkesports.com,39329,dataviper.io
www.icommercecentral.com,39281,dataviper.io
www.fiskesnack.com,39210,dataviper.io
www.jennyhaskins.com,39188,dataviper.io
www.trackmania-carpark.com,39150,dataviper.io
lilwaynehq.com,39101,dataviper.io
www.manastir-lepavina.org,39081,dataviper.io
www.nuitmadrid.es,39073,dataviper.io
www.painel.artevirtualfc.com.br,39004,dataviper.io
www.6enligne.net,38976,dataviper.io
www.shenghuonet.com,38965,dataviper.io
digilib.stikom.edu,38954,dataviper.io
www.scifi-forum.de,38873,dataviper.io
www.simdog.net,38855,dataviper.io
xiledgaming.com (09-2019),38766,dataviper.io
olemiss.edu,38759,dataviper.io
baraholka37.ru,38738,dataviper.io
Sony Pictures SPI,38699,dataviper.io
yamahaoutboardparts.com,38688,dataviper.io
www.railcam.uk,38676,dataviper.io
mobile.publi-news.fr,38663,dataviper.io
mahraganalkraza.com,38589,dataviper.io
hentaidub.ru,38541,dataviper.io
en.hannoveraner.com,38528,dataviper.io
www.fengshui.com.sg,38506,dataviper.io
fcnorthwest.com,38427,dataviper.io
goods,38368,dataviper.io
www.filmmuseum-hamburg.de,38325,dataviper.io
www.christianflatshare.org,38315,dataviper.io
FrozenCraft.ru,38181,dataviper.io
www.physiouk.co.uk,38172,dataviper.io
www.otbva.com,38152,dataviper.io
matheplanet.com,38141,dataviper.io
Vintage-Erotica-Forum.com (Apr 2016),38028,dataviper.io
forum.jswelt.de. (11-2019),38000,dataviper.io
www.gotomylayouts.com,37994,dataviper.io
forum.jswelt.de november2019,37992,dataviper.io
freehack.com,37986,dataviper.io
parfumerie.ru,37965,dataviper.io
quil-fait-bon.com,37946,dataviper.io
www.gkmim.ru,37917,dataviper.io
www.reom.ru,37889,dataviper.io
torpedomilitarysales.de,37806,dataviper.io
gamerstack.io,37801,dataviper.io
asap.me,37796,dataviper.io
www.funcook.net,37791,dataviper.io
old.betadistribution.com,37788,dataviper.io
egamingsupply.com 2016-10,37676,dataviper.io
www.bestcopycolorado.com,37593,dataviper.io
arcadehits.netGamesVideoGames,37558,dataviper.io
www.tvsmith.com,37510,dataviper.io
secure.medicalletter.org,37501,dataviper.io
www.global-flat.com,37309,dataviper.io
65-k.com,37286,dataviper.io
defineyolu.club november2019,37272,dataviper.io
www.niot.res.in,37261,dataviper.io
vitebsk.aw.by,37252,dataviper.io
www.boardriding.ru,37240,dataviper.io
www.salaoxido.net,37213,dataviper.io
www.mecell.co.kr,37198,dataviper.io
www.asianworld.it,37195,dataviper.io
www.korea-fever.net,37055,dataviper.io
newdisorder.com,36969,dataviper.io
DreamFilm.se (Aug 2016),36927,dataviper.io
288.indexcopernicus.com,36897,dataviper.io
cksflower.co.kr,36839,dataviper.io
uk-chaccprod.users.csv,36823,dataviper.io
soaofny.com,36803,dataviper.io
osas.ca,36802,dataviper.io
alloutcricket.comSports,36780,dataviper.io
xronize-05-31-2013-users,36754,dataviper.io
www.furacao.com,36739,dataviper.io
ecociencia.ecotec.edu.ec,36730,dataviper.io
hostmonster.com,36693,dataviper.io
1337-crew,36638,dataviper.io
www.tecnomodel-treni.it,36561,dataviper.io
minecraft,36526,dataviper.io
megapolis-16.ru,36492,dataviper.io
catalog.aw.by,36432,dataviper.io
www.lebebe.eu,36375,dataviper.io
www.micros-elearning.com,36374,dataviper.io
www.nskfitness.ru,36371,dataviper.io
www.bibmaster.com,36338,dataviper.io
napragyogas.hu,36231,dataviper.io
www.le-sentier-paris.com,36174,dataviper.io
lionelracingforum.com,36095,dataviper.io
www.agents.ncl.de,36010,dataviper.io
sms-snabb-lan.svenskasajter.com,35938,dataviper.io
www.7seasproshopthai.com (01-2019),35872,dataviper.io
ap.ecocert.com,35854,dataviper.io
ictinedtoolkit.org,35817,dataviper.io
body.net.nl,35803,dataviper.io
bodybuilding.nl,35792,dataviper.io
old.sea-av.com.ua,35752,dataviper.io
www.chatwahn.de,35724,dataviper.io
www.reggaefrance.com,35722,dataviper.io
www.kronoservice.com,35598,dataviper.io
