dump_name,breach_date,record_count,info,source
forum.learncima.com,N/A,62532,N/A,Dehashed
forum.makingfun.com,N/A,89728,N/A,Dehashed
forum.memoriapress.com,N/A,4082,N/A,Dehashed
forum.mirchronicles.com,N/A,2139,N/A,Dehashed
forum.multiplayers.eu,N/A,2,N/A,Dehashed
forum.novusrising.com,N/A,213,N/A,Dehashed
forum.pixelpointpos.com,N/A,578,N/A,Dehashed
forum.pokercity.nl,N/A,6517,N/A,Dehashed
forum.portnov.com,N/A,5487,N/A,Dehashed
forum.premium-contao-themes.com,N/A,652,N/A,Dehashed
forum.priston.com.br,N/A,7566,N/A,Dehashed
forum.rc-sub.com,N/A,1691,N/A,Dehashed
forum.readmore.de,N/A,94969,N/A,Dehashed
forum.ruisystem.net,N/A,203,N/A,Dehashed
forum.scalesoaring.com,N/A,1469,N/A,Dehashed
forum.scriptcase.net,N/A,10924,N/A,Dehashed
forum.soe.se,N/A,15122,N/A,Dehashed
forum.studebakerdriversclub.com,N/A,9072,N/A,Dehashed
forum.swapa.org,N/A,13554,N/A,Dehashed
forum.t-tapp.com,N/A,31650,N/A,Dehashed
forum.ta77.net,N/A,6490,N/A,Dehashed
forum.texyon.com,N/A,5217,N/A,Dehashed
forum.thejeansblog.com,N/A,2428,N/A,Dehashed
forum.theonyxpath.com,N/A,15597,N/A,Dehashed
forum.thewrestlinggame.com,N/A,5464,N/A,Dehashed
forum.ukcen.com,N/A,4531,N/A,Dehashed
forum.vmedia.ca,N/A,65840,N/A,Dehashed
forum.voltdb.com,N/A,2757,N/A,Dehashed
forum.wbrm.net,N/A,56,N/A,Dehashed
forum.wearerealitygames.com,N/A,4758,N/A,Dehashed
forum.wiriders.com,N/A,328,N/A,Dehashed
forumaniga.me,N/A,315,N/A,Dehashed
forumold.adv-bulgaria.com,N/A,11863,N/A,Dehashed
forums.avaloniaonline.com,N/A,2021,N/A,Dehashed
forums.bladi-dz.com,N/A,4148,N/A,Dehashed
forums.blitwise.com,N/A,10514,N/A,Dehashed
forums.bongfish.com,N/A,13103,N/A,Dehashed
forums.buckeyefirearms.org,N/A,11260,N/A,Dehashed
forums.canadamotoguide.com,N/A,9071,N/A,Dehashed
forums.capitalgames.com,N/A,645821,N/A,Dehashed
forums.fitsteps.co.uk,N/A,779,N/A,Dehashed
forums.fitwell-ness.com,N/A,313,N/A,Dehashed
forums.gtrcanada.com,N/A,107972,N/A,Dehashed
forums.hamradiodeluxe.com,N/A,5882,N/A,Dehashed
forums.joycitygames.com,N/A,24906,N/A,Dehashed
forums.resaleworld.com,N/A,2460,N/A,Dehashed
forums.shell-livewire.com,N/A,430782,N/A,Dehashed
forums.trenchwars.com,N/A,4461,N/A,Dehashed
forums.zonealarm.com,N/A,5129,N/A,Dehashed
forumsms.com,N/A,1127,N/A,Dehashed
forumvideochat.com,N/A,6954,N/A,Dehashed
fpvsea.com,N/A,1618,N/A,Dehashed
fstormrender.ru,N/A,1815,N/A,Dehashed
fvsports.com,N/A,426,N/A,Dehashed
fybforum.co.uk,N/A,50587,N/A,Dehashed
gameworn.us,N/A,1220,N/A,Dehashed
gesundehunde.com,N/A,18288,N/A,Dehashed
gipfeltreffen.at,N/A,59873,N/A,Dehashed
gitforums.org,N/A,551,N/A,Dehashed
goaliestore.com,N/A,27974,N/A,Dehashed
golfsimulatorforum.com,N/A,7122,N/A,Dehashed
gopherforum.com,N/A,48402,N/A,Dehashed
gravsportsice.com,N/A,2325,N/A,Dehashed
greatwallforum.com,N/A,1377,N/A,Dehashed
herniatalk.com,N/A,2061,N/A,Dehashed
herpes-research.com,N/A,26,N/A,Dehashed
highcountry4wheelers.com,N/A,46652,N/A,Dehashed
highlander-community.com,N/A,513,N/A,Dehashed
hisseanaliz.net,N/A,52113,N/A,Dehashed
hobbysquawk.com,N/A,9476,N/A,Dehashed
homeopathyhome.com,N/A,15032,N/A,Dehashed
hookers.nl,N/A,292828,N/A,Dehashed
hookuptalk.com,N/A,9697,N/A,Dehashed
hrtrendz.com,N/A,809,N/A,Dehashed
hydroracer.net,N/A,7745,N/A,Dehashed
ilsogno.farm,N/A,8,N/A,Dehashed
info.xcoins.io,N/A,2434,N/A,Dehashed
inphaseforum.com,N/A,615,N/A,Dehashed
iratus-lepus.com,N/A,78,N/A,Dehashed
janisian.com,N/A,169,N/A,Dehashed
joanieallum.com,N/A,122,N/A,Dehashed
justonelook.org,N/A,1368,N/A,Dehashed
kernel-video-sharing.com,N/A,856,N/A,Dehashed
khelokricket.com.pk,N/A,12727,N/A,Dehashed
killbillet.com,N/A,90440,N/A,Dehashed
koikichi.vn,N/A,820,N/A,Dehashed
lasvegasdirect.com,N/A,21779,N/A,Dehashed
leforumdubowling.fr,N/A,3220,N/A,Dehashed
lionelracingforum.com,N/A,36214,N/A,Dehashed
livingorganicsoil.net,N/A,60,N/A,Dehashed
loxforum.com,N/A,36,N/A,Dehashed
m40rifle.com,N/A,740,N/A,Dehashed
madisound.com,N/A,1729,N/A,Dehashed
magissy.com,N/A,855,N/A,Dehashed
mcpressonline.com,N/A,66004,N/A,Dehashed
mctina.org,N/A,19519,N/A,Dehashed
