Database Name,Database DL Link,Database URL Source,Captcha,Direct
Europass Romania @TeamBerserks,http://siph0n.net/exploits.php?id=1048,http://siph0n.net/leaks.php?page=15,,
eventtravel.com.ua,http://siph0n.net/exploits.php?id=1201,http://siph0n.net/leaks.php?page=13,,
"FBI - 22,175 leaked records",http://siph0n.net/exploits.php?id=4469,http://siph0n.net/leaks.php?page=5,,
FBI DB HACKED,http://siph0n.net/exploits.php?id=4957,http://siph0n.net/leaks.php,,
FijiLive Full Database 140k lines,http://siph0n.net/exploits.php?id=4699,http://siph0n.net/leaks.php?page=3,,
fims.co.za,http://siph0n.net/exploits.php?id=966,http://siph0n.net/leaks.php?page=16,,
Fiyo CMS 2.0_1.9.1 - SQL Injection,http://siph0n.net/exploits.php?id=3897,http://siph0n.net/leaks.php?page=10,,
florida.gov,http://siph0n.net/exploits.php?id=4936,http://siph0n.net/leaks.php,,
Florissant Police Department Officer d0x,http://siph0n.net/exploits.php?id=1836,http://siph0n.net/leaks.php?page=13,,
FourDollarClick.com_2016_46k,http://siph0n.net/exploits.php?id=4813,http://siph0n.net/leaks.php?page=2,,
FunOfficePools.com_2016_60k,http://siph0n.net/exploits.php?id=4910,http://siph0n.net/leaks.php,,
gatorade hacked http://107.22.175.202/,http://siph0n.net/exploits.php?id=981,http://siph0n.net/leaks.php?page=16,,
GEPL dump | 2000 logins dump by XVII,http://siph0n.net/exploits.php?id=1206,http://siph0n.net/leaks.php?page=13,,
Ghana Post Vulns,http://siph0n.net/exploits.php?id=1309,http://siph0n.net/leaks.php?page=13,,
giaccheverdi.it defaced by XVII,http://siph0n.net/exploits.php?id=1306,http://siph0n.net/leaks.php?page=13,,
Gov Canadian,http://siph0n.net/exploits.php?id=3539,http://siph0n.net/leaks.php?page=13,,
Government FTP Servers,http://siph0n.net/exploits.php?id=4455,http://siph0n.net/leaks.php?page=6,,
gracia.assemblea.cat #hacked . @luZ1f3R_darknet,http://siph0n.net/exploits.php?id=8540,http://siph0n.net/leaks.php,,
Gramweb.net Hacked,http://siph0n.net/exploits.php?id=4952,http://siph0n.net/leaks.php,,
HackDiscussion Database Leak,http://siph0n.net/exploits.php?id=4437,http://siph0n.net/leaks.php?page=6,,
HackersNation User Table,http://siph0n.net/exploits.php?id=4436,http://siph0n.net/leaks.php?page=6,,
hc stealer,http://siph0n.net/exploits.php?id=1352,http://siph0n.net/leaks.php?page=13,,
