dump_name,breach_date,record_count,info,source
Tbc.atlantis.eu,2018,481,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Paragon-servers.com,2018,400044,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Vianet,8 April 2020,174626,"Email addresses, Names, Phone numbers, Physical addresses",dehashed
Europajobs,August 2019,100367,"Dates of birth, Email addresses, Geographic locations, Job applications, Names, Passwords, Phone numbers, Spoken languages",dehashed
Sedpcgkfl (Dueling Network),March 2017,2681369,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Dutchwow.com,2018,3889,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Warmane.com,1 December 2016,1125452,"Dates of birth, Email addresses, Passwords, Usernames",dehashed
Mathway,13 January 2020,25865722,"Device information, Email addresses, Names, Passwords, Social media profiles",dehashed
Xbox360iso,September 2015,1294730,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Swvl,23 June 2020,4197427,"Email addresses, Names, Partial credit card data, Passwords, Phone numbers, Profile photos",dehashed
Wowsolvus.es,2018,515749,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Shotbow.net,9 May 2016,1052838,"Email addresses, Passwords, Usernames",dehashed
Eatstreet,3 May 2019,9990263,"Dates of birth, Email addresses, Genders, Names, Partial credit card data, Passwords, Phone numbers, Physical addresses, Social media profiles",dehashed
Zunal.com,-,506500,"Emails, Usernames, Addresses, Passwords, Names, Birthdays",dehashed
Wahm.com,May 2018,224888,,dehashed
Quidd,1 July 2019,3954417,"Email addresses, Passwords, Usernames",dehashed
Psxscene,February 2015,364962,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Dashhacks.com,-,389630,"Email addresses, Passwords, Usernames",dehashed
Planetcalypsoforum.com,July 2019,62296,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Unforgivenwow.com,2018,27781,"Email addresses, IP addresses, Passwords, Usernames",dehashed
WildStar,11 July 2015,742388,"Dates of birth, Email addresses, IP addresses, Passwords, Usernames",dehashed
Ptsrp.pl,20 May 2020,5920,"Usernames, Email Addresses, Passwords, IP Addresses, Dates of Birth, Website Activity",dehashed
Gamerzplanet.net,23 October 2015,883841,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Vtightgel.ne,February 2016,2445577,"Email addresses, IP addresses, Names, Phone numbers, Physical addresses",dehashed
Sneakergroups,20 May 2020,6587,"Usernames, Email Addresses, Passwords, IP Addresses, Dates of Birth, Website Activity",dehashed
Chatbook,26 March 2020,2585902,"Email addresses, Names, Passwords, Phone numbers, Social media profiles",dehashed
Nulled.ch,20 May 2020,43619,"Email addresses, IP addresses, Passwords, Private messages, Usernames",dehashed
Tip.it,2020,166620,"Usernames, Email Addresses, Passwords",dehashed
Sinfulsite,15 May 2020,5461,"Usernames, Email Addresses, Passwords, IP Addresses, Dates of Birth, Website Activity, Private Messages",dehashed
Swappernet.com,-,765608,"Usernames, Passwords, IP Addresses",dehashed
Blackhatprotools.net,"7 September 2018,",110163,"Usernames, Email Addresses, IP Addresses, Passwords",dehashed
Nutrinfo.com,2020,26100,"Email Addresses, Phones, Passwords",dehashed
F.elex.com,July 2016,1604644,"Email addresses, Usernames, Passwords, IP Addresses",dehashed
Tauri.hu,April 2018,59702,"Email addresses, Usernames, Passwords",dehashed
Swordfantasy,2017,3206383,"Website Activity, Usernames, Email Addresses, Passwords",dehashed
Starsonata.com,December 2018,35007,"Email addresses, Usernames, Passwords",dehashed
Astaroth-server.com,2018,16503,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Omgpop.com,2019,7067490,"Email Addresses, Passwords(Plaintext)",dehashed
Grimdawn.com,October 2018,52695,"Email addresses, Usernames, Passwords",dehashed
MGM,25 July 2019,10613880,"Dates of birth, Email addresses, Names, Phone numbers, Physical addresses",dehashed
Myrepospace,6 July 2015,252911,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Payday201801,-,10001,-,dehashed
Wow-mania.com,2018,73764,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Cs-puchatek.pl,2012,544521,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Elvinelol.com,2016,10709,"Email addresses, Passwords",dehashed
Ownedcore,1 August 2013,880024,"Email addresses, IP addresses, Passwords, Usernames",dehashed
30vbduumps,2018-2020,1256556,A Collection of 30 Individual Breaches From Vbulletin.,dehashed
Way-of-elendil.fr,2018,105255,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Mastercard.kundenliste,20 August 2019,89428,"Email addresses, IP addresses, Names, Partial credit card data, Phone numbers, Salutations",dehashed
Gamevilusa.com,15 May 2020,272109,"Email addresses, IP addresses, Passwords, Usernames",dehashed
D3scene.com,1 January 2016,568325,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Technicpack,November 2018,238553,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Smogon,10 September 2017,386397,"Email addresses, Genders, Geographic locations, Passwords, Usernames, Website activity",dehashed
Wowscape.net,2018,348,"Email addresses, Usernames, Passwords",dehashed
Dojoapp.co,February 2017,305351,"Email addresses, Usernames, Passwords",dehashed
Tibia.net.pl,-,440293,-,dehashed
500px.com,5 July 2018,14869981,"Dates of birth, Email addresses, Genders, Geographic locations, Names, Passwords, Usernames",dehashed
Cloudmining.com,2020,12780,"Email Addresses, Passwords",dehashed
Petflow,9 December 2017,992480,"Email addresses, Passwords",dehashed
Bikeforums.net,May 2018,395386,"Email addresses, Usernames, Passwords",dehashed
Dunzoin,19 June 2020,6384848,"Device information, Email addresses, Geographic locations, IP addresses, Names, Phone numbers",dehashed
Uiggy.com,1 June 2016,4278871,"Email addresses, Genders, Names, Social connections, Website activity",dehashed
Stalkerso,May 2020,1427208,"Usernames, Email Addresses, Passwords, IP Addresses",dehashed
Cit0day,4 November 2020,468385696,"Email addresses, Passwords",dehashed
Minecats.com,2019,2947,"Email addresses, IP, Usernames",dehashed
Phunland.com,-,3708,"Email addresses, Usernames",dehashed
Bell14,-,18353,"Email addresses, Usernames, Passwords",dehashed
Erisium.com,-,3237,"Email addresses, Usernames",dehashed
Game-Hackers.com,-,7492,"Email addresses, Usernames, IP, Hashed Passwords",dehashed
PhpFreaks.com,October 2015,171624,"Dates of birth, Email addresses, IP addresses, Passwords, Usernames, Website activity",dehashed
KvaDroom.ru,December 2019,233930,"Email Addresses, Phone Numbers, Full Names, Passwords",dehashed
gpsunderground.com,2016,668421,"Dates of birth, Email addresses, IP addresses, Passwords, Usernames",dehashed
EpicNPC.com,January 2016,409297,"Email addresses, IP addresses, Passwords, Usernames",dehashed
PoliceOne.com,July 2014,712732,"Email addresses, IP addresses, Passwords, Usernames",dehashed
XPGamesaves.com,2016,892254,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Habbo.st,-,888522,"Email addresses, IP addresses, Passwords, Usernames",dehashed
DaFont.com,16 May 2017,682861,"Email addresses, Passwords, Usernames",dehashed
WashingtonDCVoterRegistration2018,2018,493220,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
SumoTorrent.sx,21 June 2014,302290,"Email addresses, IP addresses, Passwords, Usernames, Website activity",dehashed
Villavu.com,2014,302290,"Usernames, Email Addresses, Passwords",dehashed
KansasVoterRegistration2018,2018,1822596,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
MissouriVoterRegistration2018,2018,4130524,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
NevadaVoterRegistration2018,2018,1743936,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
ConnecticutVoterRegistration2018,2018,2289757,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
Xoninet.com,-,7388,"Email Addresses, IP, Username, Passwords",dehashed
CouponMom.com,8 February 2014,11032596,"Email Addresses,Passwords",dehashed
RetailLeads,2019,3911718,"Email Address, Name, Address, Phone Number",dehashed
EmuParadise.me,1 April 2018,1128981,"Email addresses, IP addresses, Passwords, Usernames",dehashed
8Tracks.com,January 2020,7336714,"Email addresses, Passwords",dehashed
DataCamp.com,30 January 2017,760610,"Email addresses, Geographic locations, IP addresses, Names, Passwords",dehashed
Artsy.net,30 January 2017,1079831,"Email addresses, IP addresses, Names, Passwords",dehashed
SportsFreaksOnline.com,2019,110479,"Email addresses, IP addresses, Usernames, Passwords",dehashed
poradnikzdrowie.pl,2019,43915,"Email addresses, IP addresses, Usernames, Passwords",dehashed
ReasonForum.com,2019,6657,"Email addresses, IP addresses, Usernames, Passwords",dehashed
MobileDepo.com,2019,635374,"Email addresses, IP addresses, Usernames, Passwords",dehashed
mjakmama24.pl,2019,54658,"Email addresses, IP addresses, Usernames, Passwords",dehashed
JamPlayTalk.com,2019,338153,"Email addresses, IP addresses, Usernames, Passwords",dehashed
IranUFC.com,2019,8241,"Email addresses, IP addresses, Usernames, Passwords",dehashed
ExtremeGameZone.com,2019,8799,"Email addresses, IP addresses, Usernames, Passwords",dehashed
TheBestCaseScenario.com,2019,18406,"Email addresses, IP addresses, Usernames, Passwords",dehashed
swrpgnetwork.com,2019,3357,"Email addresses, IP addresses, Usernames, Passwords",dehashed
OklahomaVoterRegistration2018,2018,2092047,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
OregonVoterRegistration2018,2018,3178814,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
ColoradoVoterRegistration2017,2017,3692108,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
Legendas.tv,2019,3866599,"Email addresses, IP addresses, Names, Usernames, Passwords",dehashed
tsg.tv,2019,12696,"Email addresses, IP addresses, Usernames, Passwords",dehashed
BordersDown.com,2019,12336,"Email addresses, IP addresses, Usernames, Passwords",dehashed
BenchMark.rs,2019,93588,"Email addresses, IP addresses, Usernames, Passwords",dehashed
AnimeSue.com,2019,5865,"Email addresses, IP addresses, Usernames, Passwords",dehashed
animeindir.com,2019,6618,"Email addresses, IP addresses, Usernames, Passwords",dehashed
InciForum.com,2019,277,"Email addresses, IP addresses, Usernames, Passwords",dehashed
OhioVoterRegistration2018,2018,8018342,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
GeorgiaVoterRegistration2018,2018,6693704,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
MarylandVoterRegistration2018,2018,4285253,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
CanadianResidential(2018),2018,12563758,"Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Phones",dehashed
Xiaomi.com,1 August 2012,7087102,"Email addresses, IP addresses, Passwords, Usernames",dehashed
GoNinja.de,2019,5206040,"Email addresses, IP addresses, Passwords, Usernames",dehashed
Cracked.to,21 July 2019,321444,"Email addresses, IP addresses, Passwords, Private messages, Usernames",dehashed
GoGames.me,2019,3442360,"Email addresses, IP addresses, Usernames, Passwords",dehashed
Over-blog.com,April 2019,2928874,"Email Addresses, Usernames, IP Addresses, Device Information, Passwords (SHA1)",dehashed
MoneyBookers.com,1 January 2009,4493313,"Dates of birth, Email addresses, IP addresses, Names, Phone numbers, Physical addresses",dehashed
FloridaVoterRegistration2018,2018,13874282,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
NewYorkStateVoterRegistration2018,2018,18024745,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
NewYorkVoterRegistration2018,2018,15882620,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
NorthCarolinaVoterRegistration2018,2018,7144757,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
NewJerseyVoterRegistration2018,2018,5569442,"Voter IDs, Full Names, Physical Addresses, Previous Addresses, Date of Birth, Genders, Voter Status, Voter History",dehashed
StrongholdKingdoms.com,July 2018,5817775,"Email addresses, Passwords, Usernames",dehashed
JobAndTalent.com,July 2018,11071953,"Email addresses, IP addresses, Names, Passwords",dehashed
HiAPK.com,1 January 2014,17275063,"Email addresses, Passwords, Usernames",dehashed
Roll20.net,26 December 2018,17275063,"Email addresses, IP addresses, Names, Partial credit card data, Passwords",dehashed
tgbus.com,1 September 2017,12095124,"Email addresses, Passwords, Usernames",dehashed
