BreachNameAndInfo,Website
callofdutycommunity_com_187_social_102017,http://callofdutycommunity.com
callofgods_com_650k_gaming_2017,http://callofgods.com
calltermination_com_4k_social_102017,http://calltermination.com
campgroundmaster_com_590_social_102017,http://campgroundmaster.com
candypvp_fr_3k_minecraft_2015,http://candypvp.fr
cannabis_com_227k_social_022014,http://cannabis.com
canva_com_133m_design_052019,http://canva.com
canwatchco_ca_5k_social_102017,http://canwatchco.ca
caphorniersfrancais_fr_24k_na_2019,http://caphorniersfrancais.fr
capitalgames_com_641k_gaming_2015,http://capitalgames.com
carders_cc_8k_hacking_2010,http://carders.cc
carder_pro_30k_hacking_082019,http://carder.pro
cardingmafia_ws_28k_hacking_022016,http://cardingmafia.ws
cardingmasters_com_343_hacking_2013,http://cardingmasters.com
cashcrate_com_2m_survey_2017,http://cashcrate.com
cashcrate_com_7m_survey_2017,http://cashcrate.com
cashisonline_com_12k_gaming_102017,http://cashisonline.com
cdprojektred_com_2m_gaming_2016,http://cdprojektred.com
cfire_mailru_13m_gaming_082018,http://cfire.mailru
cgold_com_6917_commerce_012008,http://cgold.com
chatbooks_com_2m_photos_032020,http://chatbooks.com
cheapassgamer_com_385k_gaming_2015,http://cheapassgamer.com
chegg_com_38m_education_2018,http://chegg.com
chinaeko_com_348k_design_2017,http://chinaeko.com
chodscheats_com_18k_hacking_2016,http://chodscheats.com
clangameover_com_2k_social_102017,http://clangameover.com
classmates_com_2m_education_2006,http://classmates.com
clixsense_com_2m_survey_2016,http://clixsense.com
cloudminr_io_1k_crypto_2015,http://cloudminr.io
cloudstresser_net_128_hacking_2013,http://cloudstresser.net
clubdbsa_org_186_social_102017,http://clubdbsa.org
cmdbooter_com_485_hacking_082015,http://cmdbooter.com
cncden_com_25k_gaming_2012,http://cncden.com
cod247_com_48k_gaming_2016,http://cod247.com
coinmama_com_478k_crypto_062017,http://coinmama.com
comicbookresources_com_65k_comics_2016,http://comicbookresources.com
consolespot_net_284k_gaming_2015,http://consolespot.net
coubic_com_554k_health_022019,http://coubic.com
couponmom_com_10m_savings_2014,http://couponmom.com
crackcommunity_21k_hacking_2015,http://crackcommunity.21k
crackingitaly_com_18k_hacking_2017,http://crackingitaly.com
craftapple_pl_10k_minecraft_2016,http://craftapple.pl
craftboard_pl_26k_gaming_2016,http://craftboard.pl
cristalix_ru_72k_minecraft_201x,http://cristalix.ru
crystalart_ae_566_design_2017,http://crystalart.ae
csdn_net_6m_software_2011,http://csdn.net
csgameservs_com_8k_gaming_2012,http://csgameservs.com
cssaw_pl_10k_gaming_2017,http://cssaw.pl
cyberboot_eu_310_hacking_201x,http://cyberboot.eu
d3scene_com_32k_gaming_2009,http://d3scene.com
d4tabase_com_21k_hacking_092013,http://d4tabase.com
dailymotion_com_87m_entertainment_2017,http://dailymotion.com
darcecraft_com_16k_gaming_2015,http://darcecraft.com
darkbooter_fr_835_hacking_032015,http://darkbooter.fr
darkcppsweb44_net_471_gaming_2011,http://darkcppsweb44.net
darkmills_cc_1k_social_102017,http://darkmills.cc
darkstargaming_com_1k_social_102017,http://darkstargaming.com
dashhacks_com_451k_hacking_2016,http://dashhacks.com
dataviper_io_258_security_072020,http://dataviper.io
dating_de_513k_dating_2016,http://dating.de
daytrading_com_1m_finance_2018,http://daytrading.com
dayzforum_net_10k_gaming_2015,http://dayzforum.net
dayz_com_206k_gaming_2016,http://dayz.com
dbi4nsk4lbwdhufr_onion_5k_darkweb_012017,http://dbi4nsk4lbwdhufr.onion
dcemu_couk_481k_gaming_2015,http://dcemu.couk
ddo_com_2m_gaming_2013,http://ddo.com
decimatepvp_com_1k_minecraft_2019,http://decimatepvp.com
deepjunglekratom_com_25k_store_072020,http://deepjunglekratom.com
deepsearch_onion_1694_hacking_122020,http://deepsearch.onion
delicious_takoyaki_230k_compilation_201x,http://delicious.takoyaki
demonforums_net_11k_hacking_2016,http://demonforums.net
demonforums_net_52k_hacking_022019,http://demonforums.net
devilgroup_com_1k_social_102017,http://devilgroup.com
devshed_com_217k_tech_2015,http://devshed.com
dfb_de_3m_sports_2016,http://dfb.de
didiswardrobe_com_11k_shopping_082019,http://didiswardrobe.com
differencegames_com_30k_gaming_2016,http://differencegames.com
dinastymc_eu_1k_minecraft_2015,http://dinastymc.eu
dirtycode_io_23k_adult_062020,http://dirtycode.io
disqus_com_28m_comments_2017,http://disqus.com
divinevpn_com_22k_hacking_201x,http://divinevpn.com
divxup_com_22k_social_102017,http://divxup.com
djchat_com_54k_chat_2016,http://djchat.com
dlh_net_3m_gaming_2016,http://dlh.net
dodonew_com_16m_tech_2011,http://dodonew.com
doga_fr_4k_na_2019,http://doga.fr
dogewallet_com_28k_crypto_2014,http://dogewallet.com
dojoapp_co_750k_events_2017,http://dojoapp.co
domainsindex_com_2k_tech_012018,http://domainsindex.com
dominos_eu_651_food_2014,http://dominos.eu
dota2_com_2m_gaming_2016,http://dota2.com
doublefinish_com_486_social_102017,http://doublefinish.com
doubleinks_com_126k_shopping_2016,http://doubleinks.com
downloadpolitics_com_2k_social_102017,http://downloadpolitics.com
dragonnest_com_3m_gaming_2013,http://dragonnest.com
drakoria_fr_6k_minecraft_2015,http://drakoria.fr
drizly_com_2m_shopping_072020,http://drizly.com
dropbox_com_68m_hosting_2012,http://dropbox.com
dtime_store_3k_na_2019,http://dtime.store
dubsmash_com_123m_social_122018,http://dubsmash.com
dumpbase_ga_1k_hacking_2016,http://dumpbase.ga
earnyourturns_com_1k_social_102017,http://earnyourturns.com
eatigo_com_3m_food_092020,http://eatigo.com
eatstreet_com_6m_food_052019,http://eatstreet.com
edmlife_com_603_social_102017,http://edmlife.com
edmodo_com_77m_education_2017,http://edmodo.com
eirtakon_com_2k_social_102017,http://eirtakon.com
elclubdigital_com_138k_photo_2016,http://elclubdigital.com
elkasite_ru_11k_na_2019,http://elkasite.ru
elluel_net_16k_social_102017,http://elluel.net
elobuddy_net_177k_gaming_2016,http://elobuddy.net
