dump_name,breach_date,record_count,source
promo.com,2020-08-07,24731925,BreachDirectory
justdate.com,2017-05-26,24551113,BreachDirectory
luminpdf.com,2019-11-15,24387539,BreachDirectory
cafepress.com,2020-07-21,23607396,BreachDirectory
collection-1-user,2019-02-18,23261584,BreachDirectory
wanelo.com,2019-11-18,23188908,BreachDirectory
r2games.com,2017-03-30,23113328,BreachDirectory
webkinz.com,2020-04-22,22982544,BreachDirectory
gfan.com,2018-03-06,22724902,BreachDirectory
movistar.com.pe,2024-12-11,22550831,BreachDirectory
eyeem.com,2019-10-28,22360766,BreachDirectory
163.com,2017-05-29,22213902,BreachDirectory
teg.com.au,2024-11-01,22073576,BreachDirectory
expandia.es,2024-12-11,21957869,BreachDirectory
parkmobile.us,2021-07-23,21864662,BreachDirectory
yopsy.com,2021-02-03,21713002,BreachDirectory
shopback.sg,2021-05-13,21343871,BreachDirectory
geckovpn.xyz,2022-05-10,21301284,BreachDirectory
hurb.com,2020-08-04,20731528,BreachDirectory
cutout.pro,2024-02-29,20696533,BreachDirectory
beenverified.com,2022-04-11,20550252,BreachDirectory
romwe.com,2020-03-15,20322958,BreachDirectory
loveplanet.ru,2021-10-12,20077073,BreachDirectory
aptoide.com,2020-05-03,20000847,BreachDirectory
ferretcheck.xyz,2023-01-09,19294793,BreachDirectory
readnovel.com,2019-05-29,19255002,BreachDirectory
evony.com,2017-05-09,18796003,BreachDirectory
8tracks.com,2019-08-21,18674589,BreachDirectory
17173.com,2017-09-18,18333936,BreachDirectory
baihe.com,2019-05-29,18300456,BreachDirectory
clearvoicesurveys.com,2021-05-13,17477769,BreachDirectory
hiapk.com,2017-10-15,17275106,BreachDirectory
ixigo.com,2019-11-13,17243330,BreachDirectory
redwhite,2020-08-10,17162884,BreachDirectory
zomato.com,2017-11-03,17000273,BreachDirectory
dns-shop.ru,2023-01-12,16524282,BreachDirectory
yam.com,2021-04-26,16325553,BreachDirectory
singlesnet.com,2020-07-22,16321188,BreachDirectory
jobstreet.com,2017-11-06,16305173,BreachDirectory
dodonew.com,2017-04-10,16283139,BreachDirectory
chatbooks.com,2020-08-06,15895127,BreachDirectory
haijiao.com,2023-07-24,15760038,BreachDirectory
taringa.net,2018-09-06,15639978,BreachDirectory
blankmediagames.com,2019-02-26,15635869,BreachDirectory
000webhost.com,2017-03-29,15271696,BreachDirectory
trello.com,2024-07-17,15182068,BreachDirectory
taobao.com,2017-04-11,15073142,BreachDirectory
7k7k.com,2017-04-05,14928174,BreachDirectory
500px.com,2020-04-10,14870306,BreachDirectory
epa.gov,2021-06-21,14847331,BreachDirectory
mate1.com,2017-02-21,14432980,BreachDirectory
twitvid.com,2017-06-11,14248570,BreachDirectory
hja9d.com,2023-04-18,14141250,BreachDirectory
poshmark.com,2020-04-30,13904341,BreachDirectory
zoloto585.ru,2024-06-17,13893309,BreachDirectory
co188.com,2019-04-08,13501376,BreachDirectory
hjedd.com,2022-07-24,13407020,BreachDirectory
dangdang.com,2019-04-08,13182583,BreachDirectory
florida.gov,2017-06-06,13120994,BreachDirectory
mccentral.org,2017-10-26,13080237,BreachDirectory
mcresolver.pw,2021-10-13,13080237,BreachDirectory
tgbus.com,2017-09-11,12966254,BreachDirectory
bukalapak.com,2020-05-08,12957648,BreachDirectory
dailyquiz.me,2021-06-22,12814756,BreachDirectory
instantcheckmate.com,2023-02-03,12261886,BreachDirectory
opentable.com,2020-11-12,11992851,BreachDirectory
usa-consumer,2017-06-13,11884854,BreachDirectory
lbsg.net,2017-03-30,11870146,BreachDirectory
animedigitalnetwork.fr,2022-07-09,11845760,BreachDirectory
kassy.ru,2024-01-04,11754248,BreachDirectory
lifebear.co.jp,2020-05-09,11577779,BreachDirectory
mail.ru,2017-02-20,11548452,BreachDirectory
silkroadonline.net,2020-05-05,11531045,BreachDirectory
uuy.com,2023-06-21,11412986,BreachDirectory
sayweee.com,2023-05-22,11337847,BreachDirectory
4kmiles.com,2019-11-21,11300415,BreachDirectory
sohu.com,2018-07-03,11128812,BreachDirectory
cafepress.co.uk,2019-10-31,11110295,BreachDirectory
lendenclub.com,2024-11-12,11107518,BreachDirectory
jobandtalent.com,2019-11-20,11071953,BreachDirectory
couponmom.com,2018-03-12,11032697,BreachDirectory
armorgames.com,2019-07-13,11014093,BreachDirectory
banorte.com,2022-09-01,10858585,BreachDirectory
172.104.90.245,2023-07-04,10856261,BreachDirectory
tigodating.com,2024-02-28,10764134,BreachDirectory
catho.com,2020-07-16,10713186,BreachDirectory
stripchat.com,2024-11-12,10083977,BreachDirectory
minted.com,2020-11-12,9999813,BreachDirectory
uuu9.com,2022-08-02,9959129,BreachDirectory
digimon.co.in,2020-05-29,9808786,BreachDirectory
ispeak.cn,2017-05-21,9695639,BreachDirectory
flexbooker.com,2022-03-01,9549561,BreachDirectory
bit.ly,2018-03-12,9316306,BreachDirectory
178.com,2017-05-21,9072966,BreachDirectory
jefit.com,2020-08-15,9030299,BreachDirectory
gfycat.com,2019-11-27,8956130,BreachDirectory
classi.jp,2020-08-03,8904462,BreachDirectory
washington.gov,2017-05-29,8822772,BreachDirectory
heroesofnewerth.com,2017-12-04,8764961,BreachDirectory
homechef.com,2020-11-25,8717764,BreachDirectory
123rf.com,2020-11-18,8620031,BreachDirectory
weheartit.com,2018-03-13,8604981,BreachDirectory
dunzo.com,2020-07-28,8493875,BreachDirectory
paysystem.tech,2023-06-02,8427206,BreachDirectory
duowan.com,2017-06-29,8307762,BreachDirectory
truthfinder.com,2023-02-03,8275270,BreachDirectory
gamigo.com,2017-04-14,8261507,BreachDirectory
teespring.com,2021-06-21,8242747,BreachDirectory
tunngle.net,2020-03-23,8195171,BreachDirectory
stockx.com,2019-09-19,8105405,BreachDirectory
bookmate.com,2020-08-14,8026886,BreachDirectory
spacetimestudios.com,2022-09-06,7978092,BreachDirectory
factual.com,2017-07-31,7975107,BreachDirectory
reverbnation.com,2022-07-24,7888957,BreachDirectory
robinhood.com,2022-03-29,7732239,BreachDirectory
datpiff.com,2020-05-16,7693660,BreachDirectory
kg-com.fr,2023-04-18,7632696,BreachDirectory
proptiger.com,2020-09-19,7589894,BreachDirectory
gamestop.com,2021-01-29,7565295,BreachDirectory
boat-lifestyle.com,2024-04-15,7549218,BreachDirectory
tele2.ru,2022-09-23,7530149,BreachDirectory
dave.com,2020-08-04,7509898,BreachDirectory
aaa.com,2017-05-23,7509310,BreachDirectory
ohio.gov,2017-05-30,7509310,BreachDirectory
aipai.com,2017-06-05,7465288,BreachDirectory
memechat.app,2022-03-11,7450483,BreachDirectory
