dump_name,breach_date,record_count,source
A-Trains.com,,,ScatteredSecrets
AABL.com,,,ScatteredSecrets
AAIQ.org.ar,,,ScatteredSecrets
AAU.ac.in,,,ScatteredSecrets
ABAC.org.br,,,ScatteredSecrets
ABBA.de,,,ScatteredSecrets
ABBEP.org,,,ScatteredSecrets
ABC.net.au,,,ScatteredSecrets
ABCInternational.com.mx,,,ScatteredSecrets
ABCUniversidades.com,,,ScatteredSecrets
ABD.org.in,,,ScatteredSecrets
ABFRL.com,,,ScatteredSecrets
ABSURDO.eu,,,ScatteredSecrets
ABVVMechelenKempen.be,,,ScatteredSecrets
ACAO.org.ma,,,ScatteredSecrets
ACCE-Online.com,,,ScatteredSecrets
ACCETEL.es,,,ScatteredSecrets
ACCLimited.com,,,ScatteredSecrets
ACDC-videos.com,,,ScatteredSecrets
ACEonline.co.uk,,,ScatteredSecrets
ACICLACampina.com.br,,,ScatteredSecrets
ACLumezzane.it,,,ScatteredSecrets
ACMA.in,,,ScatteredSecrets
ACMAR.com.ar,,,ScatteredSecrets
ACOMAX.com.br,,,ScatteredSecrets
ACParadise.com,,,ScatteredSecrets
ACQgroup.com,,,ScatteredSecrets
ACRLMetrics.com,,,ScatteredSecrets
ACTC.org.br,,,ScatteredSecrets
AConstructoras.com,,,ScatteredSecrets
ADKGamers.com,,,ScatteredSecrets
ADV-Bulgaria.com,,,ScatteredSecrets
ADVENDURE.com,,,ScatteredSecrets
ADWDiabetes.com,,,ScatteredSecrets
AEO.com.pk,,,ScatteredSecrets
AEurologia.com,,,ScatteredSecrets
AFG-Haustechnik.de,,,ScatteredSecrets
AFRTradeshow.com,,,ScatteredSecrets
AFashionMix.com,,,ScatteredSecrets
AGEFOS-PME-IleDeFrance.org,,,ScatteredSecrets
AGIR.ro,,,ScatteredSecrets
AHCollege.gov.bd,,,ScatteredSecrets
AIGAE.org,,,ScatteredSecrets
AIOUG.org,,,ScatteredSecrets
AIPPM.com,,,ScatteredSecrets
AKPR.ru,,,ScatteredSecrets
ALCBasket.com,,,ScatteredSecrets
ALFAnord.pt,,,ScatteredSecrets
ALLPLASTA.com.au,,,ScatteredSecrets
ALM-Evreux-Basket.com,,,ScatteredSecrets
ALMIPraha.cz,,,ScatteredSecrets
ALPBrokers.com,,,ScatteredSecrets
ALSI.ua,,,ScatteredSecrets
ALTASTEROL.com,,,ScatteredSecrets
ALTAYNEWS.kz,,,ScatteredSecrets
AMEAwards.com,,,ScatteredSecrets
AMH-sales.com,,,ScatteredSecrets
AMKAShop.com,,,ScatteredSecrets
AMagicalDay.co.uk,,,ScatteredSecrets
ANPAD.it,,,ScatteredSecrets
AOCmonitorap.com,,,ScatteredSecrets
APK.tw,,,ScatteredSecrets
APLRacing.com.br,,,ScatteredSecrets
APMCBavla.com,,,ScatteredSecrets
APZ.by,,,ScatteredSecrets
AQAD.in,,,ScatteredSecrets
AR15Armory.com,,,ScatteredSecrets
ARI.co.il,,,ScatteredSecrets
ARTAparts.nl,,,ScatteredSecrets
ARTISAN-n-ARTIST.de,,,ScatteredSecrets
ARWorld.us,,,ScatteredSecrets
ASAP.me,,,ScatteredSecrets
ASAutoMegaSales.com,,,ScatteredSecrets
