"UserCount","YearBreached","Domain","Name"
"1,746,067","2017","arkansas.gov","Arkansas 2017 Voter"
"805,499,579","2016","exploit.in","Exploit.in Combolist"
"562,077,492","2016","N/A","Anti Public Combolist"
"8,764,949","2012","heroesofnewerth.com","Heroes of Newerth"
"19,716,360","2011","usa.gov","USA Business"
"13,334,319","2011","canada.ca","Canadian Residential"
"2,036,333","2016","shadi.com","Shadi Dating"
"1,883,972","2011","canada.ca","Canadian Business"
"682,922","2017","dafont.com","Dafont"
"85,199,392","2016","dailymotion.com","Dailymotion"
"4,768,600","2011","renren.com","RenRen"
"128,585","2017","leotvhd.com","LEOTVHD"
"6,428,632","2011","csdn.net","Chinese Software Developer Network"
"347,637","0000","counterstrike.cn","CounterStrike.cn"
"761,558","2014","playtech.com","PlayTech"
"18,131","2017","crackingitaly.com","Cracking Italy Forums"
"1,112,288","2016","lookbook.nu","LookBook Users"
"568,382","2014","btc-e.com","BTC-e"
"531,308","2012","stickam.com","Stickam"
"15,980,005","2015","ny.gov","New York Voter"
"852,191","2017","warmane.com","Warmane"
"88,678","2015","qnb.com","Qatar National Bank"
"5,578,303","2017","nj.gov","New Jersey Voter"
"17,000,000","2017","zomato.com","Zomato"
"2,424,784","2016","clixsense.com","ClixSense"
"5,177,286","2014","kickstarter.com","KickStarter"
"9,316,196","2014","bit.ly","Bitly"
"1,755,560","2013","imgur.com","Imgur"
"11,032,696","2014","couponmom.com","Coupon Mom / Armor Games"
"20,580,060","2017","aitype.com","ai.type"
"8,604,980","2013","weheartit.com","We Heart It"
"2,986,158","2009","usa.gov","USA Boat Owner"
"31,184,517","2014","texas.gov","Texas Birth|Death|Marriage|Divorce"
"1,131,513","2015","daniweb.com","DaniWeb"
"3,450,449","2015","interpals.net","InterPals"
"499,481","2015","bitcointalk.org","BitcoinTalk"
"9,695,514","2011","ispeak.cn","iSpeak"
"24,853,850","2015","id.zing.vn","VNG Zing"
"22,722,399","2016","gfan.com","Gfan Chinese"
"9,755,600","2011","17173.com","17173 Chinese"
"1,311,610","2016","mangafox.me","Mangafox vBulletin Forum"
"1,000","2016","zhongguoxinyongheimingdan.com","Chinese Credit Blacklist (Very Valuable)"
"30,741,620","2016","data4marketers","Special K Data Feed Spam List"
"110,964,206","2018","pemiblanc.com","Pemiblanc Credential Stuffing List"
"8,046","2014","foreverpp.ru","ForeverPP Carding"
"27,839,789","2012","disqus.com","Disqus"
"640,042","2017","callofgods.com","Call Of Gods Forum"
"197,075","2018","newseasims.com","NewseaSIMS 2018"
"27,971,100","2017","taringa.net","Taringa"
"4,736,489","2009","moneybookers.com","Money Bookers"
"2,244,549","2015","game-tuts.com","GameTuts"
"80,115,532","2018","*Multiple*","2,844 Database Collection Troyhunt"
"3,883,455","2012","jobstreet.com","JobStreet"
"20,902","2014","bell.ca","Bell Canada 2014"
"1,487,858","2016","dev.dota2.com","Dota2Dev Forum"
"6,844,490","2016","cashcrate.com","CashCrate"
"261,463","2018","atlasquantum.com","Atlas Quantum"
"308,818","2017","turk-internet.net","Turk-Internet"
"777,351","2016","forumcommunity.net","ForumCommunity"
"888,303","2018","mortalonline.com","Mortal Online / Starvault"
"6,696,719","2018","georgia.gov","Georgia 2018 Voter"
"8,020,668","2018","ohio.gov","Ohio 2018 Voter"
"3,692,353","2017","colorado.gov","Colorado 2018 Voter"
"2,289,758","2018","ct.gov","Connecticut 2018 Voter"
"13,939,029","2018","florida.gov","Florida 2018 Voter"
"7,359,197","2017","michigan.gov","Michigan 2017 Voter"
"8,114,703","2018","nc.gov","North Carolina 2018 Voter"
"8,550,929","2018","pa.gov","Pennsylvania 2018 Voter"
"770,421","2017","ri.gov","Rhode Island 2017 Voter"
"4,792,983","2018","wa.gov","Washington 2018 Voter"
"1,822,597","2018","kansas.gov","Kansas 2018 Voter"
"1,743,937","2018","nevada.gov","Nevada 2018 Voter"
"2,092,413","2018","oklahoma.gov","Oklahoma 2018 Voter"
"272,813","2018","wyo.gov","Wyoming 2018 Voter"
"476,561","2018","vermont.gov","Vermont 2018 Voter"
"493,220","2018","dc.gov","Washington DC 2018 Voter"
"570,168","2018","alaska.gov","Alaska 2018 Voter"
"3,179,345","2018","oregon.gov","Oregon 2018 Voter"
"4,130,525","2018","missouri.gov","Missouri 2018 Voter"
"18,158,537","2018","ny.gov","New York 2018 Voter"
"4,286,737","2018","maryland.gov","Maryland 2018 Voter"
"5,487,219","2018","thegioididong.com","Thegioididong (Mobile World JSC)"
"70,123,890","2016","comelec.gov.ph","Philippines Comelec Voter"
"85,822,194","2011","ssa.gov","USA Social Security Death Master File (SSDMF)"
"22,839,010","0000","customs.ru","Russian Customs (Imports/Exports)"
"24,596,236","1995","ca.gov","California 1905 - 1995 Birth Index"
"188,595","2014","ilikecheats.com","ILikeCheats"
"909,325","2017","desteria.com","Desteria Minecraft IP"
"1,631,524","2014","maryland.gov","Maryland 1973 - 2014 Death Index"
"523,926","2016","lupaworld.com","LUPA开源社区"
"5,444,464","2011","pconline.com.cn","PCOnline CN 太平洋电脑网"
"52,623","2019","demonforums.net","Demon Forums 2019"
"342,913","2016","facepunch.com","Facepunch (GMOD)"
"459,213","2015","edaboard.com","Edaboard Forum"
"569,733","2015","elitemeeting.com","EliteMeeting"
"722,055","0000","*Unknown*","Russian Mobile"
"2,142,547","2007","gpotato.com","gPotato"
"34,235","2016","forum.bittorrent.com","BitTorrent Forum"
"5,119,689","2015","ttnet.com.tr","TTNET Turkish ISP"
"19,210","2013","crackcommunity.com","Crack Community Forum"
"110,161","2018","blackhatprotools.info","Black Hat Pro Tools Forum"
"319,207","2017","ancestry.com","RootsWeb Acestry"
"2,368,720","2018","morele.net","Morele Polish"
"7,787,467","2018","blankmediagames.com","Town of Salem / Blank Media Games"
"5,063,233","2011","zhenai.com","Zhenai 珍爱网"
"112,988","2019","ogusers.com","OGUsers Forum"
"11,013,617","2019","armorgames.com","Armor Games"
"55,121","2019","socialengineered.net","SocialEngineered Forum"
"86,312","2019","void.to","VoidTO Forum"
"5,679,243","2015","gaadi.com","Gaadi"
"830,155","2016","pokemonnegro.com","Pokémon Negro"
"275,785","2018","linuxforums.org","LinuxForums"
"657,001","2015","pokebip.com","Pokébip"
"590,000","2019","eng.mocs.gov.tw","Taiwanese Ministry of Civil Services"
"7,087,103","2012","bbs.xiaomi.cn","Xiaomi BBS"
"2,009,423","2019","flashflashrevolution.com","Flash Flash Revolution 2019"
"1,241,053","2015","aternos.org","Aternos"
"74,293,986","2019","nap.bg","Bulgarian National Revenue Agency (НАП)"
"321,444","2019","cracked.to","Cracked.TO Forum"
"2,231,256","2017","bell.ca","Bell Canada 2017"
"1,128,980","2018","emuparadise.me","Emuparadise Gaming"
"18,674,439","2017","8tracks.com","8Tracks"
"161,749,950","2018","dubsmash.com","Dubsmash"
"140,029","2019","blackspigot.com","BlackSpigotMC"
"409,298","2016","epicnpc.com","EpicNPC"
"137,316","2014","villavu.com","Villavu SRL"
"380,830","2017","fhostingesps6bly.onion","Freedom Hosting II"
"180,468","2013","ahashare.com","AhaShare"
"846,742","2008","babynames.com","Baby Names"
"999,991","2015","hongfire.com","HongFire"
"4,606","2019","kiwifarms.net","KiwiFarms"
"1,476,783","2016","km.ru","KM.RU (Первый мультипортал)"
"30,484","2018","lightshope.org","Light's Hope"
