"breachdates","published_mo_yr","domain","hacker","records","sourcetype"
"2016-12-13T00:00:00.000Z","2017-03-01T00:00:00.000Z","contactfill.com",,,"official"
"2017-07-14T00:00:00.000Z","2017-08-01T00:00:00.000Z","crescentmortgage.com",,,"official"
"2019-04-08T00:00:00.000Z","2019-04-01T00:00:00.000Z","icracked.com","",0,"news"
"2018-06-03T00:00:00.000Z","2018-06-01T00:00:00.000Z","humana.com","",0,"official"
"2018-04-04T00:00:00.000Z","2018-04-01T00:00:00.000Z","firstmarkservices.com",,,"official"
"2016-11-01T00:00:00.000Z","2017-01-01T00:00:00.000Z","dhg.com",,,"news"
"2017-03-18T00:00:00.000Z","2017-07-01T00:00:00.000Z","hyatt.com",,,"official"
"2017-03-29T00:00:00.000Z","2017-06-01T00:00:00.000Z","leavitt.com",,,"official"
"2017-08-11T00:00:00.000Z","2017-08-01T00:00:00.000Z","inetrec.com",,,"news"
"2016-03-18T00:00:00.000Z","2017-08-01T00:00:00.000Z","abrholdings.com",,,"news"
"2017-12-27T00:00:00.000Z","2018-02-01T00:00:00.000Z","mercyhealthlovecounty.com",,,"official"
"2017-03-03T00:00:00.000Z","2017-04-01T00:00:00.000Z","ctrllp.com",,,"news"
"2017-02-01T00:00:00.000Z","2017-02-01T00:00:00.000Z","genocea.com",,,"official"
"2019-01-19T00:00:00.000Z","2019-04-01T00:00:00.000Z","gettysburg.edu","",0,"official"
"2018-02-16T00:00:00.000Z","2018-03-01T00:00:00.000Z","kingassociatescpa.com",,,"official"
"2015-09-01T00:00:00.000Z","2017-06-01T00:00:00.000Z","horchow.com",,,"news"
"2019-04-22T00:00:00.000Z","2019-04-01T00:00:00.000Z","nyulangone.org",,,"official"
"2018-08-15T00:00:00.000Z","2018-09-01T00:00:00.000Z","mcspower.com",,,"official"
"2017-09-12T00:00:00.000Z","2017-10-01T00:00:00.000Z","lakechamplainchocolates.com",,,"official"
"2017-05-13T00:00:00.000Z","2019-04-01T00:00:00.000Z","firstcommercebk.com",,,"official"
"2017-06-09T00:00:00.000Z","2017-07-01T00:00:00.000Z","bakertilly.com",,,"official"
"2017-09-22T00:00:00.000Z","2018-01-01T00:00:00.000Z","maplecrestford.com",,,"official"
"2017-03-19T00:00:00.000Z","2017-06-01T00:00:00.000Z","forumfyi.org",,,"news"
"2015-03-01T00:00:00.000Z","2017-01-01T00:00:00.000Z","lemystere.com",,,"news"
"2017-01-21T00:00:00.000Z","2017-01-01T00:00:00.000Z","vercenterprises.com",,,"official"
"2017-11-02T00:00:00.000Z","2017-11-01T00:00:00.000Z","siegfriedgroup.com",,,"official"
"2017-07-17T00:00:00.000Z","2017-11-01T00:00:00.000Z","missionsdoor.org",,,"official"
"2019-03-15T00:00:00.000Z","2019-03-01T00:00:00.000Z","cremationsocietyofpa.com",,,"official"
"2017-12-29T00:00:00.000Z","2018-01-01T00:00:00.000Z","nhsfunfactory.com",,,"official"
"2018-02-22T00:00:00.000Z","2018-04-01T00:00:00.000Z","controltechinc.com",,,"official"
"2018-04-30T00:00:00.000Z","2018-07-01T00:00:00.000Z","pinnacletrailers.com",,,"official"
"2018-06-18T00:00:00.000Z","2018-07-01T00:00:00.000Z","videosoftdev.com",,,"news"
"2017-01-02T00:00:00.000Z","2017-01-01T00:00:00.000Z","liu.edu",,,"news"
"2019-03-11T00:00:00.000Z","2019-04-01T00:00:00.000Z","rickersrewards.com",,,"news"
"2016-06-22T00:00:00.000Z","2017-03-01T00:00:00.000Z","howecpas.net",,,"official"
"2017-07-18T00:00:00.000Z","2017-07-01T00:00:00.000Z","stuartedelstein.com",,,"official"
"2017-06-30T00:00:00.000Z","2017-09-01T00:00:00.000Z","auburneyedocs.com","",0,"news"
"2017-08-15T00:00:00.000Z","2019-01-01T00:00:00.000Z","aaglobal.com",,,"official"
"2017-09-29T00:00:00.000Z","2017-11-01T00:00:00.000Z","hollyspringsga.us",,,"news"
"2017-10-03T00:00:00.000Z","2017-12-01T00:00:00.000Z","austinmanualtherapy.com",,,"official"
"2018-03-13T00:00:00.000Z","2018-04-01T00:00:00.000Z","foxnews.com",,,"official"
"2019-04-11T00:00:00.000Z","2019-05-01T00:00:00.000Z","helpfbms.org",,,"news"
"2017-01-09T00:00:00.000Z","2017-03-01T00:00:00.000Z","shiel.com",,,"news"
"2017-11-21T00:00:00.000Z","2017-11-01T00:00:00.000Z","envisionbank.com",,,"official"
"2018-01-18T00:00:00.000Z","2018-02-01T00:00:00.000Z","citizensbank.com",,,"official"
"2018-02-08T00:00:00.000Z","2018-03-01T00:00:00.000Z","amerifirst.com",,,"news"
"2018-06-08T00:00:00.000Z","2019-05-01T00:00:00.000Z","carlsonbuilding.com",,,"official"
"2018-02-05T00:00:00.000Z","2018-02-01T00:00:00.000Z","curtislumber.com",,,"official"
"2017-01-06T00:00:00.000Z","2017-01-01T00:00:00.000Z","babson.edu",,,"official"
"2017-07-11T00:00:00.000Z","2017-08-01T00:00:00.000Z","jaffasimmons.com",,,"news"
"2017-08-08T00:00:00.000Z","2017-08-01T00:00:00.000Z","afn-net.com",,,"news"
"2016-04-25T00:00:00.000Z","2017-03-01T00:00:00.000Z","oceankey.com",,,"news"
"2018-08-07T00:00:00.000Z","2018-10-01T00:00:00.000Z","dragasmortgage.com",,,"official"
"2018-10-31T00:00:00.000Z","2019-01-01T00:00:00.000Z","hankingroup.com",,,"official"
"2018-03-08T00:00:00.000Z","2018-04-01T00:00:00.000Z","ramybrook.com",,,"official"
"2018-03-13T00:00:00.000Z","2018-03-01T00:00:00.000Z","nfp.com",,,"official"
"2017-10-26T00:00:00.000Z","2017-12-01T00:00:00.000Z","texasagriculture.gov",,,"news"
"2019-05-30T00:00:00.000Z","2019-06-01T00:00:00.000Z","jcrush.com",,,"news"
"2019-02-14T00:00:00.000Z","2019-03-01T00:00:00.000Z","championtitle.com",,,"official"
"2018-03-12T00:00:00.000Z","2018-04-01T00:00:00.000Z","howardbank.com",,,"official"
"2018-05-08T00:00:00.000Z","2019-04-01T00:00:00.000Z","talentpath.com","",0,"official"
"2015-05-19T00:00:00.000Z","2017-08-01T00:00:00.000Z","capitalone.com",,,"news"
"2017-06-06T00:00:00.000Z","2017-08-01T00:00:00.000Z","mjhs.org",,,"news"
"2016-01-18T00:00:00.000Z","2017-02-01T00:00:00.000Z","kmmcpa.com",,,"news"
"2016-09-15T00:00:00.000Z","2017-04-01T00:00:00.000Z","peglegpetes.com",,,"news"
"2018-04-19T00:00:00.000Z","2018-05-01T00:00:00.000Z","vtelaw.com",,,"official"
"2016-02-01T00:00:00.000Z","2017-02-01T00:00:00.000Z","theartofshaving.com",,,"official"
"2018-09-08T00:00:00.000Z","2018-11-01T00:00:00.000Z","gowise.org",,,"official"
"2018-01-03T00:00:00.000Z","2018-02-01T00:00:00.000Z","zabel.unknown","",0,"news"
"2017-05-01T00:00:00.000Z","2017-08-01T00:00:00.000Z","lendficorp.com",,,"news"
"2018-05-24T00:00:00.000Z","2017-11-01T00:00:00.000Z","oppenheimerfunds.com",,,"official"
"2017-09-25T00:00:00.000Z","2017-10-01T00:00:00.000Z","dcboces.org",,,"news"
"2015-04-20T00:00:00.000Z","2018-04-01T00:00:00.000Z","sainc.com",,,"official"
"2017-03-03T00:00:00.000Z","2017-03-01T00:00:00.000Z","sheliawilson-alexandercpa.com","",0,"official"
"2018-10-02T00:00:00.000Z","2019-04-01T00:00:00.000Z","hcarsonsmithpc.com",,,"news"
"2018-12-12T00:00:00.000Z","2019-05-01T00:00:00.000Z","saltlife.com",,,"official"
"2018-11-24T00:00:00.000Z","2018-12-01T00:00:00.000Z","backcountryedge.com",,,"official"
"2019-06-06T00:00:00.000Z","2019-06-01T00:00:00.000Z","ararental.org",,,"official"
"2019-02-18T00:00:00.000Z","2019-02-01T00:00:00.000Z","southsidemedical.net",,,"leakreport"
"2017-01-24T00:00:00.000Z","2017-02-01T00:00:00.000Z","marrakechinc.org",,,"news"
"2019-01-31T00:00:00.000Z","2019-01-01T00:00:00.000Z","beachhaven-nj.gov",,,"official"
"2019-04-24T00:00:00.000Z","2019-04-01T00:00:00.000Z","colorstreet.com",,,"official"
"2017-10-19T00:00:00.000Z","2017-11-01T00:00:00.000Z","thisworks.com",,,"official"
"2017-09-07T00:00:00.000Z","2017-09-01T00:00:00.000Z","msg.com","",0,"news"
"2018-10-05T00:00:00.000Z","2018-11-01T00:00:00.000Z","sirchie.com",,,"official"
"2017-02-02T00:00:00.000Z","2017-03-01T00:00:00.000Z","krehbielcpa.com",,,"official"
"2017-01-30T00:00:00.000Z","2017-02-01T00:00:00.000Z","mi9retail.com",,,"news"
"2019-03-04T00:00:00.000Z","2019-03-01T00:00:00.000Z","temptu.com",,,"official"
"2019-04-24T00:00:00.000Z","2019-04-01T00:00:00.000Z","care.com",,,"official"
"2016-12-20T00:00:00.000Z","2017-03-01T00:00:00.000Z","walltitus.com",,,"official"
"2017-03-06T00:00:00.000Z","2017-03-01T00:00:00.000Z","ri.gov",,,"news"
"2018-04-18T00:00:00.000Z","2018-05-01T00:00:00.000Z","unoallavolta.com",,,"official"
"2018-12-10T00:00:00.000Z","2019-01-01T00:00:00.000Z","enservio.com",,,"official"
"2016-03-04T00:00:00.000Z","2017-04-01T00:00:00.000Z","gsc-pa.com","",0,"news"
"2016-11-15T00:00:00.000Z","2017-01-01T00:00:00.000Z","honorflightnewengland.org",,,"official"
"2017-01-09T00:00:00.000Z","2017-01-01T00:00:00.000Z","claremontrug.com",,,"news"
"2017-05-22T00:00:00.000Z","2017-07-01T00:00:00.000Z","visioncarespecialists.com",,,"news"
"2017-01-16T00:00:00.000Z","2017-01-01T00:00:00.000Z","stlukes-stl.com",,,"official"
"2017-04-21T00:00:00.000Z","2017-05-01T00:00:00.000Z","drs.unknown","",0,"official"
