dump_name,breach_date,record_count,source
CraftBoard.pl,2016-06,17969,LeakCheck.io
MangaTraders.com,2014-06,843547,LeakCheck.io
Learnfrenchbypodcast.com,,120492,LeakCheck.io
Kickstarter.com,2014-01,2408506,LeakCheck.io
Dubsmash.com,2018-12,60552055,LeakCheck.io
Cex.io,,95929,LeakCheck.io
GameSalad.com,2019-02,1187127,LeakCheck.io
Forex-Investor.net,,42680,LeakCheck.io
Over-blog.com,,2894251,LeakCheck.io
Gameogre.com,,193294,LeakCheck.io
Abandonia.com,2015-10,774055,LeakCheck.io
Runescape.Backstreetmerch.com,,167910,LeakCheck.io
Subagames.com,2016-08,3423366,LeakCheck.io
Pokemoncreed.net,2014-07,123523,LeakCheck.io
WarcraftRealms.com,2018-11,129161,LeakCheck.io
Babynames.net,2008-10,583023,LeakCheck.io
Coinbulb.com,2017-11,569467,LeakCheck.io
Jobandtalent.com,2018-01,10881867,LeakCheck.io
Cre8ASiteForums.com,,22147,LeakCheck.io
ID.Zing.vn,,22735435,LeakCheck.io
Forum.DvdRBase.info,,40066,LeakCheck.io
BitcoinSecurity,2014-01,9393644,LeakCheck.io
FuckJagex.com,2014-08,1556210,LeakCheck.io
ClixSense.com,2016-07,2220970,LeakCheck.io
Game.Kaidown.com,,847467,LeakCheck.io
LBSG.net,2016-01,9820909,LeakCheck.io
ForumCommunity.net,2016-06,769875,LeakCheck.io
Void.to,2019-06,86309,LeakCheck.io
NaughtyAmerica.com,2016-02,398388,LeakCheck.io
GameTuts.com,2015-03,1121822,LeakCheck.io
SumoTorrent.sx,2016-03,254547,LeakCheck.io
Edaboard.com,2014-11,459462,LeakCheck.io
Gamecom.com,,1003347,LeakCheck.io
Rewasd.com,2019-08,381747,LeakCheck.io
Moneycontrol.com,,782883,LeakCheck.io
SafeSkyHacks.com,2016-10,3648,LeakCheck.io
Coinpot.co,,130868,LeakCheck.io
MyFitnessPal.com,2018-02,138836622,LeakCheck.io
Rgbdirect.co.uk,,146042,LeakCheck.io
Jobmada.com,,19982,LeakCheck.io
WorldCraftEros.net,,2270,LeakCheck.io
Funimation.com,2016-07,2510568,LeakCheck.io
Acne.org,2014-11,233194,LeakCheck.io
Wanelo.com,2018-12,3067158,LeakCheck.io
Euronote.hu,,361152,LeakCheck.io
Gatehub.net,2019-06,18354498,LeakCheck.io
8Tracks.com,2017-06,20618235,LeakCheck.io
Hitlerattacks.com,,944,LeakCheck.io
Openraid.org,,399084,LeakCheck.io
Imgur.com,2013-09,1746639,LeakCheck.io
ArmorGames.com,2019-01,10700188,LeakCheck.io
Morele.net,2018-10,1596476,LeakCheck.io
Viperc.net,,2442,LeakCheck.io
Payasugym.com,2016-11,284643,LeakCheck.io
Bizbilla.com,,168848,LeakCheck.io
Facepunch.com,2016-06,339786,LeakCheck.io
SpellForce.com,,109975,LeakCheck.io
Coachella.com,2017-01,595263,LeakCheck.io
Mycube.ru,2016-11,206182,LeakCheck.io
Dating.de,2016-05,511343,LeakCheck.io
Hydrogenplatform.com,,29471,LeakCheck.io
Eletroplus.blogspot.com,,74152,LeakCheck.io
Fitbit.com,,1997408,LeakCheck.io
Tibia.net.pl,2015-11,341353,LeakCheck.io
Nihonomaru.net,2015-03,1555802,LeakCheck.io
Techimo.com,2016-12,304373,LeakCheck.io
Lookbook.nu,2016-04,1071274,LeakCheck.io
VaroxCraft.de,,1425,LeakCheck.io
Shadi.com,2016-06,2016542,LeakCheck.io
Chegg.com,2018-03,39727615,LeakCheck.io
MortalOnline.com,2018-06,625113,LeakCheck.io
Mate1.com,2015-10,27220938,LeakCheck.io
Go4EngineeringJobs.com,,171622,LeakCheck.io
Bitshacking.com,2014-02,41860,LeakCheck.io
HazeCash.com,2016-12,800257,LeakCheck.io
Spohesap.com,,6187,LeakCheck.io
TeamExtremeMc.com,2015-03,70391,LeakCheck.io
BitsCircle.com,,18955,LeakCheck.io
Marketdownload.com,2016-11,104315,LeakCheck.io
Zloadr.com,,8712,LeakCheck.io
Onebip.com,2017-09,1890209,LeakCheck.io
EmuParadise.me,2018-04,1129069,LeakCheck.io
VanityMC.co,,9550,LeakCheck.io
Forums.Manacube.com,,52531,LeakCheck.io
NexusMods.com,2013-07,6226014,LeakCheck.io
Instaforex.com,,263346,LeakCheck.io
Kaboom.su,2015-09,77005,LeakCheck.io
Redbox.com,,246912,LeakCheck.io
Faucethub.io,,547974,LeakCheck.io
Btc60.net,,52146,LeakCheck.io
Gametag.com,2017-10,208061,LeakCheck.io
Psyonix.com,,979497,LeakCheck.io
Intellego.com,,478111,LeakCheck.io
YingjieSheng.com,,728391,LeakCheck.io
Cracked.to,2019-07,23582,LeakCheck.io
DLH.net,2016-07,3221685,LeakCheck.io
Windhanenergy.io,,56411,LeakCheck.io
Poshmark.com,2018-05,41630261,LeakCheck.io
CraftApple.com,2016-06,2877,LeakCheck.io
HackGive.me,2017-07,36342,LeakCheck.io
Aptoide.com,2020-04,20038008,LeakCheck.io
Cryptostar.asia,2019-11,22301,LeakCheck.io
Exerion.pl,2020-03,222624,LeakCheck.io
FlashGames.it,2020-03,1051155,LeakCheck.io
LiveJournal,2017-01,29848974,LeakCheck.io
Mobifriends,2019-11,3149795,LeakCheck.io
Ogusers,2020-04,225353,LeakCheck.io
Oneservers.su,2019-07,38994,LeakCheck.io
rbx.rocks,2018-08,113522,LeakCheck.io
Silkroad,2011-11,3948505,LeakCheck.io
Sminecraft,2019-11,118199,LeakCheck.io
Storenvy,2019-03,1733902,LeakCheck.io
Tailieu.vn,2019-11,8192923,LeakCheck.io
Webkinz,2020-03,806177,LeakCheck.io
Zorotex,2019-07,18108,LeakCheck.io
Zynga.com,2019-09,185103780,LeakCheck.io
Romwe.com,2017-11,20193286,LeakCheck.io
Stalker.so,2020-04,755264,LeakCheck.io
Omgpop,2019-07,6938420,LeakCheck.io
Villavu.com,2013-11,137303,LeakCheck.io
Animalfuckwoman.org,2018-11,110390,LeakCheck.io
Edmodo,2017-05,43401266,LeakCheck.io
AnimeGame.me,2020-02,1919038,LeakCheck.io
Characters.net,,133264,LeakCheck.io
Ticketclub.it,2018-11,85113,LeakCheck.io
Vasthushop.com,2018-11,2264,LeakCheck.io
GameSprite.me,2019-11,6174529,LeakCheck.io
Sylhetaid.co.uk,,60908,LeakCheck.io
AndroidForums.com,2011-10,625293,LeakCheck.io
PESGaming.com,,225823,LeakCheck.io
Trackmill.com,,339033,LeakCheck.io
Heatgames.me,,800959,LeakCheck.io
Potico.es,,109455,LeakCheck.io
Wiccanos.es,,12400,LeakCheck.io
iBreatheMusic.com,,17631,LeakCheck.io
forums.idcgames.com,2019-11,3954050,LeakCheck.io
Instantfuns,,24840,LeakCheck.io
SiliconIndia.com,,797744,LeakCheck.io
GladiatorHits.com,2017-10,8903,LeakCheck.io
BarefootConfidential.com,,48690,LeakCheck.io
BuyMixtapes.com,2017-10,32221,LeakCheck.io
EliteMeeting.com,2014-12,551381,LeakCheck.io
VK.com,2012-01,83777066,LeakCheck.io
forums.freegame2017.com,2019-11,1304784,LeakCheck.io
ggcorp.me,2022-08,2369090,LeakCheck.io
mail.ru,2014-09,41876310,LeakCheck.io
Vivagames.com,,233957,LeakCheck.io
OVH,2015-05,916620,LeakCheck.io
Last.fm,2012-07,39315209,LeakCheck.io
Quidd.co (2019),2019-07,3048461,LeakCheck.io
8fit.com,2018-07,7953628,LeakCheck.io
ShareThis.com,2018-07,40902178,LeakCheck.io
Ozon.ru,2013-11,455895,LeakCheck.io
3DSISO.com,2015-08,50479,LeakCheck.io
AarinFantasy.com,2016-09,222416,LeakCheck.io
4m.net,2015-11,42777,LeakCheck.io
4Metin.org,,35216,LeakCheck.io
