"BreachName","Data"
"Bookcollectorshop.com","Email, Password"
"Bootlegzone.com","Email, Hash"
"Boryspil.ukrmisto.net","Email, Hash"
"Botoflegends.com","Email, Hash, Salt, Username"
"Brainden.com","Email, Hash, IP1, Salt, Username"
"Brownleejewelers.com","Email, Hash"
"Bslhomework.org.uk","Email, Hash"
"Bulbs.co.uk","Email, Hash"
"Bullchart.de","Email, Hash"
"Bungkla.go.th","Email, Password"
"Bunkier.com","Email, Hash"
"Burningwheel.com","Email, Hash, Salt, Username"
"Businessrisksinternational.com.au","Email, Hash"
"Buspartstest.com","Email, Hash"
"Bvra.gameonmanager.com","Email, Hash"
"C.afaqs.com","Email, Password"
"Cairnscompost.com","Email, Hash"
"Callofgods.com","DOB, Email, Hash, IP1, Salt, Username"
"Cambridge.edu.au","Email, Hash"
"Cambrooke.com","Email, Password"
"Campgroundmaster.com","Email, Hash, Salt, Username"
"Camping-in-europa.de","Email, Password"
"Canadiancyclist.com","Email, Password"
"Cantgetyouoffmymindlyrics.maryjblige.lyricschords.net","Email, Password"
"Canyoncrestk9.com","Email, Hash"
"Carding.cc","Address, Email, First, Hash, IP1, Last, Phone"
"Carlack.com","Address, First, Last"
"Caughtinthebalance.toto.lyricschords.net","Email, Password"
"Ccfreunde.de","Email, Hash"
"Cfoto.hu","Email, Hash"
"Cft.or.kr","Email, Password"
"Chamberswines.com","Email, Hash"
"Channelnext.ca","Email, Hash"
"Chavengcenter.com","Email, Password"
"Cheat-master.net","Email, Password"
"Chevol.com","Email, Hash"
"Childcarebydesign.com.au","Email, Hash"
"Chinahealthcare.com.hk","Email, Hash"
"Chinasthc.com","Email, Password"
"Chods-cheats.com","Email, Hash, IP1, Salt, Username"
"Chorse.net","Email, Hash"
"Chotec.cz","Email, Hash"
"Chriswilsonartist.com","Email, Hash"
"Chrmglobal.com","Email, Password"
"Citadel.sx","Email, IP1, Username"
"Clan-amok.org","Email, IP1, Password, Username"
"Classmates.com","Address, Email, First, Last"
"Cleanworld-th.com","Email, Password"
"Clownmodding.com","Email, Hash, IP1, Salt, Username"
"Club24-7.ru","Email, Password"
"Clubapplive.com","Email, Hash"
"Cmkon.org","Email, Password"
"Cntdrs.com.br","Email, Hash"
"Coasterfuel.com","Email, Hash"
"Coinsrush.com","Password, Username"
"Coinwatch.ch","Email, Password"
"Coljoytraining.com.au","Email, Hash"
"Colombocityhotels.lk","Email, Hash, Username"
"Compounds.barabas.us","Email, Hash"
"Comx.cz","Email, Hash"
"Concursocec.com.br","Email, Hash"
"Condusef.gob.mx","Email, Username"
"Control.sdindustrial.com.mx","Email, Hash, Salt"
"Convertmyads.com","Email, Password"
"Coordinadoradelamujer.org.bo","Email, Hash"
"Cosensa.co.uk","Email, Password"
"Cosmetologiachile.com","Email, Password"
"Cotswoldcoffee.co.uk","Email, Password"
"Cows.fi","Email, Hash"
"Crackingitaly.com","Email, Hash, IP1, Salt, Username"
"Craft-helme.maedl.de","Email, Hash, Salt"
"Crcmt.org.br","Email, Password"
"Createst.altervista.org","Email, Hash"
"Credit4study.com","Email, Hash"
"Crush007.co.uk","Email, Password, Username"
"Cs.net","Email, Password"
"Cscms.de","Email, Hash"
"Ctfishtalk.com","Email, Hash"
"Culture.place","Email, Hash"
"Curabet.com","Email, Hash, Salt"
"D2club.ru","DOB, Email, Hash, IP1, Salt, Username"
"D2football.com","Email, First, Password"
"D3sk1ng.com","Email, Password, Username"
"D4tabase.com","DOB, Email, Hash, Salt, Username"
"Dancelittlerudeboy.ianduryandtheblockheads.lyricschords.net","Email, Password"
"Danriveremmaus.net","Email, Password"
"Darkfadepvp(buycraft)","Address, Country, Email, First, IP1, Username"
"Database.cazalac.org","Email, Hash, Salt"
"Dcsocialmarketing.com","Email, Hash"
"Deadc0deshop.net","Email, Hash, IP1, Salt, Username"
"Decomax.com.ar","Email, Hash"
"Deenside.co.uk","Email, Hash"
"Delta-tur.ru","Email, Hash"
"Denniswheatley.info","Email, Hash"
"Digilib.stikeskusumahusada.ac.id","Email, Hash"
"Digilib.stikom.edu","Email, Hash"
"Digital-data.de","Email, Hash"
"Diversityworking.com","Email, Password"
"Dixieply.com","Email, Password"
"Djservice.sk","Email, Password"
"Dmtools.org","Email, Hash"
"Dogshowcentral.co.uk","Email, Password"
"Dojoapp.co","Email, First, Hash, Last"
"Dordingull.com","Email, Hash"
"Dorsetthotels.com","Email, Hash"
"Dragonsmark.com","Email, Hash"
"Drrobertmartin.com","Email, Password"
"Dtion.jp","Email, Hash"
"Duelingnetwork.com","Email, Hash, IP1, Username"
"Duen.hu","Email, Password"
"Dungeontwister.org","Email, Hash"
"Duowan.com","Email, Hash, Username"
"Dvdcalifornia.com.br","Email, Password"
"Earthprint.com","Email, Hash"
"Eastmanringetteleague.com","Email, Hash"
"Ebcbrakes.bg","Email, Hash"
"Echanblardnext.org","Email, Hash"
"Ecoroku.jp","Email, Hash"
"Edaboard.com","Email, Hash, Salt, Username"
"Edacentrum.de","Email, Hash"
"Editorateosofica.com.br","Email, Password"
"Education-japan.org","Email, Password"
"Efectosnavales.es","Email, Hash, Salt"
"Effortlessgk.com","Email, Hash"
"Egefrim.dk","Email, Hash"
"Elance.com","Email, Hash"
"Elite-dev.com","DOB, Email, Hash, IP1, Salt, Username"
"Elsjoglars.net","Email, Hash"
"Emescn.net","Email, Hash"
"Emotka.net","Email, Hash"
"En.acltad.org","Email, Hash"
"Encoregfa.com","Email, Hash"
