"BreachName","Data"
"Pocketgamer.co.uk","Email, First, Hash, Last, Username"
"Poetrynation.com","Email, Password"
"Pomiar-czasu.pl","Email, Hash"
"Pooyingnaka.com","Email, Hash"
"Porneskimo.com","Email, Hash"
"Porno-maniac.org","Email, Hash, Salt, Username"
"Portail-peche.com","Email, Password"
"Pos.dreamybunch.com","Email, Hash"
"Ppstore.us","Email, Hash, IP1, IP2, Username"
"Pr-rp.com","Email, Hash, Salt, Username"
"Preetlari.com","Email, Password"
"Primetimereaders.com","Email, Hash"
"Privateschoolsdirectory.com.au","Email, Password"
"Pro-manpower.com.tw","Email, Password"
"Probemas.com","Email, Password"
"Profiliceni.cz","Email, Password"
"Profitpips.com","Email, Password"
"Proleague.de","Email, Hash"
"Protemps.com.sg","Email, Hash"
"Psiho.com","Email, Password"
"Psiquiatria.com","Email, Hash"
"Psx-scene.com","DOB, Email, Hash, IP1, Salt, Username"
"Pure-yoga.com.cn","Email, Password"
"Pvpingnetwork","Email, Username"
"Qdpcs.com","Email, Hash"
"Qigong.ru","Email, Hash"
"Queenwood.nsw.edu.au","Email, Hash"
"Quickmytrip.com","Email, Hash"
"Quizrevolution.com","Email, Hash"
"Quran-mn.com","Email, Hash"
"Quranacademy.io","Email, First, Hash"
"R3i.org","Email, Password"
"Racejournalonline.com","Email, Password"
"Rainbowshiu.net","Email, First, Phone"
"Ramblermines.com","Email, Hash"
"Ranking.deli-net.jp","Email, Hash"
"Ratanaonline.com","Email, Password"
"Rawal.tv","Email, Hash"
"Realestatebz.com","Email, Password"
"Realontario.ca","Email, Password"
"Repospace","Email, Hash, Username"
"Restobrussels.be","Email, Hash"
"Retirementdirectory.co.uk","Email, Hash"
"Revizieshop.ro","Email, Hash, Salt"
"Rgf.is","DOB, Email, Hash, IP1, Salt, Username"
"Richfieldflooring.co.uk","Email, Hash"
"Ricoh.looedu.com","Email, Hash"
"Righttarget.in","Email, Password"
"Risingshare.club","Email, Hash"
"Roatzpk.com","Email, Hash, Username"
"Rock-festival.ru","Email, Hash"
"Rodauto.pt","Email, Hash"
"Roller-coaster.com.au","Email, Hash"
"Rongshuxia.com","Email, Password"
"Ropiky.net","Email, Password"
"Roseindia.net","Email, Hash"
"Rosprites.simn.de","Email, Hash"
"Ross.kr","Email, Hash"
"Roxette.cz","Email, Hash"
"Rprint.ru","Email, Hash"
"Rsblackknights","Email, Hash, Salt, Username"
"Rshun.hu","Hash, Username"
"Ru.winguild.ru","Email, Password"
"Rugkazbah.com","Email, Hash"
"Runeplanet.com","Email, Hash, Salt, Username"
"Runescapesr.com","DOB, Email, Hash, IP1, Username"
"Ruslang.ru","Email, Hash"
"S.n-w.jp","Email, Password"
"S430634838.mialojamiento.es","Email, Password"
"S475140492.online.de","Email, Password"
"Sabebabywear.com","Email, Hash"
"Sacredheartyouthfc.co.uk","Email, Hash"
"Sandragee.co.uk","Email, Password"
"Sandypointproshop.com","Email, Password"
"Sawasdeekappom.com","Email, Password"
"Sc","Address, DOB, Email, First, Last, Phone"
"Schlegelmilch.smcc.de","Email, Hash"
"Scientific-meeting.org","Email, Password"
"Search.legalsalah.com","Email, Password"
"Sg-forum.info","Email, Hash, IP1, Salt, Username"
"Sharecash.org","Email, Hash, Password, Username"
"Shejay.net","Email, Password"
"Shellauction.net","Email, Hash"
"Shigasuma.jp","Email, Password"
"Shimanaka.co.jp","Email, Password"
"Shop.gpgindustries.com","Email, Hash"
"Shop.iris-musikverlag.de","Email, Hash"
"Shop.santool.de","Email, Hash"
"Shop.spajupiter.com","Email, Hash"
"Shop.wwr.com.tw","Email, Password"
"Shopboyshoodies.cf","Email, Hash"
"Shopcameralenscaps.tk","Email, Hash"
"Shopmultifunctionprinters.ga","Email, Hash"
"Shopnurseryblankets.gq","Email, Hash"
"Shopwebcams.cf","Email, Hash"
"Signature-properties-solutions.com","Email, Hash"
"Signoret-electromenager.fr","Email, Password"
"Simplestexplanation.com","Email, Hash, Username"
"Sirindhorn.net","Email, Hash"
"Siteducyclisme.net","Email, Password"
"Sk.com.br","Email, Password"
"Sklep.klimors.pl","Email, Hash"
"Sktorrent.eu","Email, Password, ﻿Username"
"Skyll.net","DOB, Email, First, Hash, IP1, IP2, Salt, Username"
"Skylog.kz","Email, Hash"
"Slang.ie","Email, Password"
"Smithpump.com","Email, Password, Username"
"Smkfomra.net","Email, Hash"
"Smprogettoimmobiliare.it","Email, Password"
"Snakefalls.org","Email, Hash"
"Soccersam.com","Email, Hash"
"Solidrockautogroup.com","Email, Password"
"Solociclocross.com","Email, Password"
"Solomid.net","Email, Hash, IP1, Salt, Username"
"Sommeliersofhelenamt.com","Email, Password"
"Sonicfit.com","Email, Hash"
"Soslevego.hu","Email, Password"
"Soulplayps.com","Hash, IP1, Salt, Username"
"Sphaerentor.com","Email, Hash"
"Sprashivai.ru","Email, Password"
"Sroc.org","Email, Password"
"Ssushop.com","Email, Hash"
"Stageetoilesere.be","Email, Hash"
"Stagetv.com.hk","Email, Hash"
"Stationcaster.com","Email, Hash"
"Steamgamers.com","DOB, Email, Hash, IP1, Salt, Username"
"Stephenrdonaldson.com","Email, Hash"
"Stock2morrow.com","Email, Hash"
"Stoebich.cz","Email, Hash"
"Stpatsfriendsdinner.com","Email, Hash"
"Stream101","Address, Email, First, Hash, Last, Salt"
"Stress.wtf","Email, Hash, IP1, Username"
"Stribro.cz","Email, Hash"
"Striker.com","Email, Password"
"Studiopottery.co.uk","Email, Hash"
"Studylibs.com","Email, Hash"
"Stuff4beauty.com","Email, Hash"
"Sunnybe.com","Email, Password"
"Sunseeker-seychelles.net","Email, Hash"
"Supercomp.kiev.ua","Email, Password"
"Superteachertools.net","Email, Hash"
"Surveybasket.co.za","Email, Password"
"Svtvnetwork.com","Email, Hash"
"Swirlcatering.com.au","Email, Password"
"Systamex.ca","Email, Password"
"Sz-werratal.de","Email, Hash"
"Talkduo.com","Email, Password"
"Tangocity.com","Email, Password"
"Targetinsholdings.com","Email, Hash"
"Taxplus.in","Email, Password"
"Tcz.pl","Email, Hash"
"Teamviewer.ninja","Email, Hash, IP1, Username"
"Teens-xxx.org","Email, Password, Salt, Username"
"Teledisk.hr","Email, Hash"
"Tendersunlimited.com","Email, Hash"
"Terveelain.fi","Email, Hash"
"Test.naoso.jp","Email, Hash"
"Test.netamaker.com","Email, Hash"
"Test.testbag.com","Email, Password"
"Texas","Address, First, Last"
"Tfportal.de","Email, Hash, Username"
"Tgkrh.com.br","Email, Password"
"Theatrotheque.com","Email, Password"
"Thecomicguru.co.uk","Email, Hash"
"Thecprlady.net","Email, Hash"
"Thefappening.so","Email, Hash, Username"
"Thefirm.moneycontrol.com","Email, Password"
"Thegpguild.com","Email, Hash, Salt, Username"
"Thehousebreakingbible.com","Email, Hash, Salt, Username"
"Theoriesnelhalen.nl","Email, Hash"
"Thepartstrader.com","Email, Hash"
"Thevinelist.com","Email, Hash"
"Thewomensroom.org.uk","Email, Password"
"Theyouwho.azurewebsites.net","Email, Password"
"Tienganh.com.vn","Email, Password"
"Titi.com","Email, Password"
"Tj.zggjlw.com","Email, Password"
"Tneb.tnebnet.org","Email, Password"
"Toanhoc247.edu.vn","Email, Hash"
"Tombraider.sk","Email, Hash"
"Tonyhinnigan.com","Email, Password"
"Topkoo.fr","Email, Password"
"Torrents.ro","DOB, Email, Hash, IP1, Salt, Username"
"Toskanaumbrienimmobilien.de","Email, Password"
"Tractorpoint.com","Email, Password"
"Tradeitall.fabolous.lyricschords.net","Email, Password"
"Tradelead.com","Email, Hash"
"Tradingbitkoin","Email, Password"
"Trasi.foundationcenter.org","Email, Password"
"Travel.org.ua","Email, Hash"
"Truck2sell.com","Email, Hash"
"Trueinnovationcenter.com","Email, Hash"
"Tunnel.de","Email, Hash"
"Uazuay.edu.ec","Email, Password"
"Ugmuscle.com","Email, Hash, Salt, Username"
"Umoveindia.com","Email, Hash, IP1, Phone"
"Undone.weezer.lyricschords.net","Email, Password"
"Unforgivenwow.com","Email, Hash, IP1, IP2, Username"
"Uni24.de","Email, Hash"
"Uniondeexportadores.com","Email, Hash"
"Uniquereaders.net","Email, Hash"
"United-muscle.com","Email, Hash, Salt, Username"
"Unlimitedcriminalchecks.com","Email, Hash"
"Unlimitedquantity.com","Email, Password"
"Us.zariffashion.com","Email, Password"
"Usa.imaginationlibrary.com","Email, Hash"
"Usa","Address, DOB, Email, First, Last"
"Usmleforum.com","Email, Password"
"Valcan-online.com","Email, Hash, Salt, Username"
"Valegen.link","Email, Hash, IP1, Username"
"Valuxnetwork(buycraft)","Address, Country, Email, Ip, Name, Username"
"Vamall.co.kr","Email, Hash"
"Vandatourthailand.com","Email, Password"
"Vathorst","Email, Password"
"Vbulletin.org","DOB, Email, Hash, IP1, Salt, Username"
"Vbuy.hk","Email, Hash"
"Veganforum.com","Email, Hash, Salt, Username"
"Ventoux-immobilier.fr","Email, Password"
"Verified.cm","DOB, Email, Hash, IP1, Salt, Username"
"Vetkontakt.de","Email, Password"
"Video-sexboom.de","Email, Hash"
"Vimecraft.ru","Email, Hash, IP1, Username"
"Vinex.com","Email, Hash"
"Viplondonescortsguide.com","Email, Password, Username"
"Vipprizebond.com","Email, Password"
"Visualartsource.com","Email, Hash"
"Vlab.iitr.ac.in","Email, Password"
"Vlab1.iitr.ac.in","Email, Password"
"Vnonline.co.uk","Email, Hash"
"Volgagirl.com","Email, Password"
"Vpsace.com","Address, Email, First, Hash, IP1, Last"
"Vsro.de","Email, Password"
"Vss.ac.th","Email, Password"
"Vtgs.ch","Email, Password"
"Vupas.sk","Email, Password"
"Vw-bus-t4.de","Email, Hash"
"W.dulichnhatban.net","Email, Password"
"W.veteranforum.cz","Email, Password"
"Waffleminecraft.com","Email, Username"
"Wanadoo.fr","Email, Password, Username"
"Wealth-start-business.com","Email, Password"
"Webhostingtalk.com","DOB, Email, Hash, IP1, Salt, Username"
"Weibo.com","Email, Password"
"Werbeartikel-gkhandelsplan.de","Email, Password"
"Westsail.info","Email, Password"
"Whippet-shark.org","Email, Hash"
"Whirlwindent.com","Email, Password"
"Widdup.co.uk","Email, Password"
"Wiiuiso.com","DOB, Email, Hash, IP1, Salt, Username"
"Wildraiderz.com","Email, Hash, Salt, Username"
"Win7vista.com","DOB, Email, Hash, IP1, Salt, Username"
"Winelistsummit.com","Email, Password"
"Wisconsinhypnosiscenter.com","Email, Hash"
"Wlki.com","Email, Password"
"Womvegas.com","Email, Password"
"Woodevent.de","Email, Password"
"Woodwind.ad-bazaar.com","Email, Password"
"Wplay.isrl.co","Email, Hash"
"Wsemi.com","Email, Password"
"Ww.gamblerscorner.com","Email, Password"
"Wyo-realestate.com","Email, Password"
"Wyomingwestrealty.com","Email, Password"
"X4b.net","Address, Email, First, Hash, Username"
"Xinmucha.com","Email, Password"
"Xn--4gqprf2ac7ft97aryo6r5b3ov.tokyo","Email, Password"
"Xn--72c3ae2i1a3c8c.ml","Email, Hash"
"Xn--90aacmb0bd4a8i.xn","Hash, Username"
"Xploder.net","Email, Hash, IP1, Salt, Username"
"Xronize.com","Email, Hash, Salt, Username"
"Yasangwha.com","Email, Hash"
"Yasinovataya.ukrmisto.net","Email, Hash"
"Yfcaoysterbay.org","Email, Password"
"Yogacenter.co.kr","Email, Password"
"Zabzaa.com","Email, Password"
"Zing.vn","Address, DOB, Email, First, Hash, IP1, Phone, Username"
"Zybez.net","Email, IP1, Password, Username"
